Q3E7Y3	P40513
P38149	P46675
Q99325	P09733
P40018	P53900
P39103	Q12285
Q02647	P38915
P24868	Q12175
P41805	P07259
Q04748	P19516
Q06623	P20795
P54860	P46988
Q12298	P38803
Q02724	P40043
P14020	P31111
P0CS90	P46682
P35208	P13856
P47019	P22007
P12709	Q08438
Q08199	Q12452
P53295	P39706
P40059	Q08484
P18898	Q12092
Q06525	P46672
Q06091	P40303
P38130	Q03654
P46680	Q07921
Q12114	P25390
P32585	P53193
P39538	Q05471
Q12262	P07149
P33767	P52490
P40005	P32490
P40318	P38130
P38999	P22082
P36053	Q04949
P22579	Q12287
Q03690	Q05789
Q04359	Q12315
P06106	P25558
P11972	Q07800
Q04410	P52488
P09032	P36121
P53830	P54861
P11792	P38803
Q02260	Q08749
P14922	P53724
P38429	Q06675
Q06580	P32605
Q08492	P47130
Q07418	Q07458
P36131	P40036
P47111	P53919
P25270	P34252
P41819	P14737
Q07800	P38042
P24279	P41808
P12904	P53955
P38334	Q99325
P40161	P14180
P40318	P47128
Q06493	P14306
P45978	Q12425
P19955	Q99325
Q12072	Q01477
Q12175	P53286
P32611	P35209
P48561	P17255
P21374	Q12457
P22209	Q06011
P39742	Q01649
P53437	P38881
Q04477	Q3E7A4
P32860	P53068
Q12211	Q02890
P17214	P38874
Q99314	P47822
Q12386	P32357
P06634	P38742
Q08236	P38687
P49686	P46989
P32916	P32499
P41910	Q06005
P27515	Q08962
P25369	Q04233
P27351	P33339
P53188	P00175
Q00723	P18409
P42939	P40495
P03879	P13433
P38855	P32783
P38959	P36775
P40994	Q06704
P40479	P32863
P32607	P49089
P40352	P15705
Q04549	P38811
Q06623	P38927
P21951	P36046
Q04839	Q05934
P19880	P45976
Q07921	P40348
P40993	P39929
P53278	Q99186
Q03785	Q06071
Q12321	P16451
Q12734	P40217
Q08144	P38688
P32366	P53317
Q06178	P40056
Q12102	P11914
P53335	P53236
P40555	P32583
P39967	Q04922
P38636	P01097
P53251	P05318
P53168	P42900
P24870	P47074
P35177	P53239
Q06205	P25045
P36047	P51862
P10869	P04037
P38282	P06704
P32361	P04050
P28241	Q12328
P34164	P35208
P38218	P39743
P33416	P32432
P15436	P40568
P53969	P37291
P53201	P38590
P27351	P06778
P20676	P38242
P38856	P14681
P53735	P40494
Q06103	P38920
Q08726	P06839
P0CX24	Q02776
P33417	P32497
P47041	P12688
Q12743	P38803
Q12114	P32471
P47104	P48589
P17558	Q07381
P54784	P53311
Q12102	P52870
Q12206	P06100
Q02821	P31688
P0C2H8	Q04307
P40537	P38902
P07266	P25339
P38204	P09547
Q07688	P11927
P25366	P53335
Q05080	P31373
P38855	P04050
Q03956	Q06005
P28241	Q00539
Q12460	Q04636
Q06132	P32805
P06779	P36126
Q06011	Q03981
P17629	P0C0V8
P27796	Q07732
P21242	P42949
P38746	P33334
P40059	P25651
Q04217	P39676
P38266	P53040
P38757	P27344
P53733	P53276
Q03707	P46669
P27809	P38264
Q04322	P32561
P40517	P38712
P36018	Q06505
Q02100	P34244
P38798	O14467
P18412	P53894
Q12102	P23585
Q12471	P32657
P53150	P22147
Q12102	Q08204
P19812	P38065
Q12018	P46964
P05317	P25694
P40019	P38869
P53854	Q06236
P40087	P38234
P16862	P32800
P22214	Q12481
Q06405	Q99344
P39984	P15938
P40164	P20095
P25294	P48361
Q08689	Q12082
P32529	Q12527
P40010	P18759
P36018	Q03920
Q12276	Q06629
P14681	Q04373
P32493	P40036
P36520	P45978
Q01560	P53738
P07249	P38850
Q03212	P21560
P32639	P40454
Q04930	P27692
Q02795	P37838
Q92328	Q06132
P16649	P38877
P18898	P35727
P41814	Q08444
P28791	Q02721
P53871	Q12102
P00729	Q04511
P47118	P05739
Q03714	Q12455
P32610	P18412
P38132	P36000
P41834	Q12743
P18852	Q00955
O14464	P50087
P53924	Q06236
P38772	P25451
P32849	P38826
Q08235	Q04195
Q02336	P47149
P25554	Q03124
P39001	P47158
P53978	P53063
Q05029	P14284
P08456	P40090
P32799	Q08491
P22515	P13902
Q03466	Q12114
P40302	P38828
P39526	P38859
P36037	Q07533
P48582	P34225
P30902	Q01662
P40070	P36531
Q04491	P05740
P33895	P53933
P46983	P21825
P04385	P27344
P53924	Q07821
Q03921	P53974
P54000	P38276
P32493	P38138
P33753	P00890
P47134	Q00764
Q03503	P34225
P38207	P32491
P00729	P08425
Q01649	P04819
Q04217	P40965
Q05040	P53256
Q08287	Q03213
P53633	Q01476
P32447	Q03496
Q04924	P14908
P42949	P38304
Q3E830	P22133
P0CX44	Q06132
O13539	P53289
P40505	P53170
P31385	P00360
P47140	P43579
P48566	Q12517
Q04372	P47141
P21192	P38630
P31539	Q04172
P47187	P54885
Q12083	P40482
P32864	P43621
P43639	P25045
P50113	P42949
Q12464	P16892
P16140	P07257
P25719	Q06208
P53185	Q06697
P36049	P34758
P14126	Q12156
P40477	P16523
P39938	P04449
P25591	Q00764
P32839	P24814
Q00916	P36533
Q03785	Q02196
P52918	Q01926
P05453	P05373
P39678	P32480
Q06493	P20084
P53743	P53145
Q01454	P38336
P46671	P36102
Q12463	Q12509
P53378	O14464
P32862	P19262
Q06005	P61829
P47158	P47123
Q07533	P14741
P40562	Q06820
Q12462	Q3E7B2
P40210	Q04693
P20050	P0C5N3
P38315	P24280
Q03957	P38198
P40968	Q12122
P07255	P38782
Q02803	Q06344
P52593	P40055
Q03707	Q04603
P38013	P28778
P40581	P53169
Q00618	Q12432
P41808	Q03921
P57744	P38920
P32611	P53202
P33298	Q92317
P32610	P33416
Q12114	P22138
Q08831	Q00416
P40045	P33418
P38824	P21268
P38911	Q08906
P40450	P36070
P38809	P07806
Q03435	Q12129
P10663	P38853
Q08109	Q02685
P00431	Q06836
P54786	P38866
P36145	P38738
P40507	Q12380
Q02606	Q08749
P10962	P48363
P14741	Q12181
Q05530	P53233
P25555	Q12734
P38920	Q12297
P40957	P33748
P46655	P53871
P49704	P07213
P53290	P38623
P53390	P40366
P40452	P53146
P18412	P02557
P46683	Q12277
Q12749	P38276
Q02796	Q02772
P38285	P38064
P16622	P47108
Q06709	P53125
P38274	Q03308
P53125	P53875
P05453	P38164
P39937	Q12530
Q05791	Q03774
P53965	P47135
P87108	P06782
Q04373	P40492
Q05580	P47011
P40016	Q12308
Q04210	Q3E705
P33309	Q04739
P40992	P27344
P38810	P36122
P19956	P53851
Q02803	Q06629
Q12509	P53971
P38555	Q04739
P38959	Q12265
Q04007	Q12345
Q00539	Q03772
P54837	P38077
Q06630	P43561
P31539	Q08446
Q03834	P47124
P40164	Q08387
P34760	P34217
P15790	P00854
P32893	P33419
Q03774	P38111
P32874	P40036
P32492	P38333
Q06324	P14063
P40548	P07560
P53311	Q12387
P53874	Q12060
Q03429	Q03338
P53064	P13393
P53067	P53070
Q03954	P38147
P36009	P06208
P32558	P40450
Q06411	P14922
Q99380	P39011
Q02100	Q06213
P32464	P38084
P33202	P49960
P36167	P07283
P04840	P38902
P25374	P47123
Q3E7C1	P42844
P38229	P49573
P34218	P20052
Q12251	Q06188
P32527	P18852
P22035	Q3E7Z5
P25616	P07703
Q06389	P32468
Q03921	P38336
Q12522	P49957
P34756	P40449
P47079	P38824
Q12365	P53725
Q08906	P40316
Q12380	P39524
P15367	P07253
Q6Q560	Q04748
P36090	Q12263
P38874	Q03375
P39929	P06106
P42836	P53163
P20447	P53299
P29295	P31787
P53336	P39944
P24871	P53905
P40089	P32523
P32797	P10849
P53333	Q06410
Q00776	Q05778
P53292	P38632
P39081	Q06109
Q12311	P47120
Q04225	P40061
P35180	P50101
Q12118	P38779
Q03976	P53008
P39735	P28834
P29469	P41808
P11972	Q12194
Q02890	Q08932
P53179	Q03201
P53309	P52490
Q01852	P36532
P38789	P54791
P19263	P40064
P34909	Q99216
P15442	Q08949
P18410	Q12159
P38349	P53266
P14922	P11792
Q04894	P20435
P40469	P14681
P38850	P32787
Q02866	Q08773
P41812	P47064
Q03784	P38809
P08456	P41057
Q3E829	Q07395
P15274	P36132
P32611	P52491
P36019	P38346
P43545	Q06333
Q08816	P53959
P49167	Q07980
P05756	P53867
P53971	Q02792
P33339	Q03435
P38325	Q12092
P35996	P33296
P22289	P32389
Q07794	Q07622
P21264	Q12250
P19097	P53905
P41546	Q08726
P53974	P12709
P40530	P00830
P36076	P32381
P38615	Q04183
P38907	P39969
P40020	P07267
P48564	Q03768
P25646	P06634
P32914	P32447
Q06163	P25343
P31380	Q03834
P46970	P12383
Q03897	P47976
Q06704	P19524
P53731	P40537
Q06156	P39702
P53742	P47093
P07274	P47134
P45978	P39524
P47130	P45976
Q02969	P32333
P48565	P47120
P41318	P53251
P29465	Q04370
P39985	P48562
P13365	P41808
Q04636	Q03071
P39946	P31688
Q06640	P21691
P34241	P32796
P23301	P43568
Q05166	P46954
P04386	P00729
Q12188	Q06706
P16622	Q08444
Q04226	P33754
P12684	Q12168
Q12234	Q08471
Q00582	P53871
P53011	Q02256
P47108	P50085
P36520	Q08176
P32492	P14063
P06787	P32611
Q12315	P36116
Q99220	P53094
P38886	P38829
P24384	P47025
Q04359	P53148
Q08273	P39079
P08468	P33895
P25339	P38991
Q12455	P38987
P53185	P22336
P12612	Q08746
P47124	P09798
P40003	P39520
P06778	P24279
Q07350	P40187
Q08176	P18412
Q02775	Q03707
P38013	P28007
Q04373	P32500
P38164	P32471
P40325	Q08920
P25369	P47050
Q03723	P25043
P10961	P08518
Q06628	P49166
P08566	Q12018
P40343	P32364
Q02950	Q08601
P46674	P38064
P07286	P19735
Q03430	P32874
P40314	P53507
P46673	P17558
Q04049	P53169
P38149	Q03323
Q06109	P47165
P53108	Q03769
P36126	P43594
P07269	Q08553
P16862	P08518
P38120	P23644
Q06449	Q03690
Q08119	Q01919
P20448	P24869
P39965	Q04401
P32445	P39013
Q03957	P40509
P08468	Q06344
P08432	P31412
Q03768	P33760
P36132	Q03774
P05453	P53271
P22137	Q99189
P41800	P36036
P40449	P46983
Q3E829	P14682
P32862	Q06156
Q92328	P40466
P33759	P48524
P10961	Q99344
Q07878	P53197
P14063	Q03944
Q12176	P04819
P22213	P0CG63
Q99207	P06844
P28778	Q05931
P32525	Q02866
Q06689	P11938
P32419	P17123
P47821	P53266
P06106	P52870
Q08491	P69851
P25045	Q06103
P47061	Q03435
P53732	P40010
P34223	P53131
P32379	Q08906
Q04598	P39001
P06103	P30665
Q3E846	P40160
P25579	Q99186
P54787	P32445
Q07887	Q06251
P53958	P21771
P32493	P32368
P20437	P41832
P24583	P13856
P39904	P53146
P36525	Q12199
P32585	Q12532
P39735	P53946
P27801	P19516
P23179	P39081
Q03713	P40344
P04650	Q02354
P40465	P40208
Q12469	Q12386
P40856	P17123
P04050	P32854
P25038	P32628
P40028	Q12476
P38266	P02992
P38428	P43579
P33323	P40958
Q06164	P41909
P23369	P47045
Q05791	P40302
P53289	P33755
Q07362	P22211
P32496	Q04007
P43545	Q05776
P47136	P53942
P07264	Q06218
Q12102	P43555
P40571	P06102
Q12517	Q3E7Y3
P53032	P17505
P34077	P53731
P17890	P39723
Q03750	P39723
P43122	O94742
P38181	Q12050
P20436	Q12416
P40016	Q03246
P24384	P39103
Q12157	P25579
Q3E7Z5	P33749
P20447	Q06820
Q07794	P00924
Q01722	P35177
P54999	P22438
P53068	Q06440
P36006	Q05930
P21306	P12612
Q08412	Q6WNK7
P40856	P42900
P39875	Q12366
P38757	P20053
P47122	Q12186
P33753	P40968
P36005	Q00245
Q03772	P38199
Q06709	P81450
Q04233	Q07979
P23059	P38351
P53191	P32500
P40073	Q12221
P41811	Q07732
Q07478	P53108
Q05930	P50945
Q08723	P28004
P47076	P36053
P32351	P39723
P47113	P33338
P38042	P40048
P40577	P47041
Q03654	P42841
P20133	P47150
Q02932	Q99257
P22133	P40066
P05750	P0CX52
P18496	Q04712
P38797	P33202
P42845	Q04491
P47135	Q12192
P22203	P36000
P39009	Q04930
Q12462	P38766
P38207	P40960
P00445	P40541
P22219	P23724
P69850	P19358
P32842	P43591
P35997	P40537
P40505	P53104
Q12149	P53061
P15731	P07276
Q12477	P53086
P52491	Q03656
Q12361	P38013
Q03063	P28495
P06242	P38959
P40185	P09798
Q12369	P30619
P32849	P00546
P20434	Q08831
P36132	P37293
Q06385	P53136
Q12344	P29539
Q01163	P38825
Q99207	Q03330
P25038	P32585
Q06102	P04807
P00427	P34223
P53622	P38352
P14681	P23255
Q06706	Q3E846
P33338	P48606
P49573	P39742
P40055	P40358
P41695	P43535
Q12380	P26448
P38316	P38838
Q04598	P40547
Q04087	P07256
P36775	Q06640
P36159	P40851
P04147	P28707
Q03973	P37299
P47165	Q00381
P52286	P34077
Q03497	P32494
Q06696	P12611
P51998	Q2V2P8
P32939	P00830
Q08278	P53724
P38781	P40021
P17255	P19658
Q03144	P38229
Q99359	P53924
P46151	Q12451
P53941	Q08622
P21827	P38922
O14464	P28519
Q06385	P53854
Q02793	Q02574
P32480	Q02208
P38995	P19145
P43564	P07257
P38759	Q03957
P53549	P38877
P32588	P33891
P50105	P38844
P34252	P38968
P40077	P39935
P34087	P53079
P53951	P07278
P19516	P40513
P38788	Q06697
P42939	P17106
P52918	P39720
P20457	P53128
P18410	Q04930
P21304	P52593
P53930	Q02892
P36115	P32563
P32580	P38232
P21242	P36056
P38719	P40160
Q12416	P39538
P32793	P38827
P38228	P0C2H7
P53212	P32874
Q99176	P10869
P32905	P40693
P53942	P31373
P43588	P38237
P39965	P37262
P40003	P19516
P41821	P31373
P38170	P47086
Q04307	P23301
P04807	P48566
Q12366	P40858
P31109	Q06682
P20484	P40069
Q99222	P22803
Q06624	Q02100
P30822	P12688
Q03497	P38110
P38882	P38792
P07267	Q12518
P47088	P53894
P24814	P36520
P38838	Q04969
Q06159	P39007
Q12348	P40465
P38985	P0CX42
P38042	P26754
Q06675	P34110
Q04549	P05317
P22353	P32563
P31244	P47086
Q12030	P21304
P09232	P27637
P04801	Q12499
P53858	Q99260
P09938	Q06682
Q03503	Q08920
P36517	P32366
P22146	P36116
Q00955	P32660
P36520	P26570
P35732	Q04935
Q08176	P33202
P53129	P06634
P39927	P10622
P28003	P54860
Q99344	P38170
P36118	P47118
Q03957	Q04195
Q06616	P53045
P33759	P53196
Q12181	Q06338
P36046	Q08004
Q99220	P01123
Q04511	P32381
P14180	P19454
Q02100	Q06675
Q05123	P57743
Q12417	Q03761
P53198	Q04549
P38349	P00549
P40479	P40030
Q07442	P32862
P28817	P32783
Q04049	P32464
P53628	Q12298
P46673	P25656
P32583	P40581
P18496	P53858
Q06510	P40963
P27692	Q04370
P38254	P40318
P40512	P38915
Q05029	Q02732
P32860	P40020
P32912	P34216
Q12208	Q12483
P26321	Q12033
P16474	Q06479
P53981	Q3E7Z5
P22139	Q08685
P07250	P00950
P39928	P53955
P50946	Q05359
Q00246	P40094
P39685	P18496
P38788	P19955
Q00381	P15873
P38013	P38339
P39011	P38237
P32571	Q03246
P07255	P13856
P14747	P38428
Q04053	P21242
P39705	P31787
P37299	P32613
P38861	Q03125
Q03063	P41057
P32589	P38218
P53893	P04385
P38265	P25339
P38797	P38272
Q08438	P05744
P53193	Q06704
P30902	P07274
Q12321	Q12365
Q02642	P52491
P16547	P07390
Q07978	P38738
P38629	P38883
Q04067	Q05583
P25719	P53193
P07284	P39520
Q06090	P20081
P53080	P15891
Q04500	P09232
P23585	Q04739
P20081	P39011
P36149	P20433
Q06090	Q02256
P47821	P16664
P42846	P80967
P42900	P22137
Q05809	P40098
P42841	P22289
P25638	P47822
P36068	P25644
P26321	Q12016
P14540	Q03088
P13393	P15624
P39718	P38827
Q12175	P21242
P38840	P47061
P23644	Q02969
P40479	P22135
P38822	P32618
Q12099	P41814
Q04080	P53272
P0CG63	Q03322
Q06333	Q07980
P38781	P53937
P34077	P53137
P47005	P38863
P36053	Q12445
P47075	P00942
P32769	P53890
P32334	P53724
Q12216	P53202
Q12402	P07266
P31244	P53953
P0CX87	Q06109
P11632	P31380
P39678	P89102
P29468	P53742
P10664	P36083
P32776	P38863
P38217	P35201
P19882	Q04894
P47158	P41811
P10363	P32288
P54784	P34072
Q12440	Q07963
P38304	Q3E846
Q08831	Q07807
P22147	Q12271
P36144	P54790
P17106	Q12230
Q02455	Q04500
P18634	P18480
P22515	P37370
Q12466	P53886
P14540	P26754
P0CY11	P20107
P40562	P25296
P36036	P38805
P38811	Q12206
P25558	P00958
Q04964	Q03790
Q12146	P32489
P25270	O13297
P38426	Q05021
Q06333	Q03096
P32349	P40348
P20795	Q12432
Q02771	P00420
P28495	P21192
P33202	P38837
P38636	Q07478
P38072	Q06648
Q08963	P32351
P24814	P29467
P22515	P14284
P18634	P32797
P46677	Q02805
P38254	P39523
Q12117	P07255
P53135	P20133
P33448	P52960
P19955	P53552
P34162	Q03898
Q06287	P32361
Q06469	P36147
Q12082	Q12083
P20436	Q12033
P38149	Q04748
P53187	P32836
P39955	Q08553
P18412	Q03772
P25573	P43132
Q12509	P09959
P42900	P38985
P37299	Q00772
Q92328	P32505
P38822	Q02889
P09064	P17106
Q02793	P40029
Q02931	P32899
P38634	Q12471
P40070	P07257
P20437	P32495
P33750	P43563
P38877	Q04183
P47822	P11746
P20133	Q06224
P40693	P32468
P36144	P25382
P38682	P38138
P38632	P53125
P22203	P47158
P32796	Q99314
Q03898	P50086
P40452	P32361
Q06132	P38872
P39515	Q04549
P38249	P07342
Q3E7X9	P07270
P12687	P53196
Q12452	P18496
P53953	Q06706
Q03687	Q03096
P31384	Q00684
P06169	P08018
P38238	P27929
P40016	Q02939
P00924	P49704
P28743	Q12114
P0C2H8	Q12387
P38080	Q08229
Q04477	Q12028
P07248	Q07657
O14468	Q12175
P39720	P80667
P47035	P40043
P39702	P48569
Q03769	P21306
P54005	P43561
P14742	P40851
P22141	P47130
Q12163	P39008
P0CX28	P38282
Q3E835	P38228
P53165	P53311
P33441	P31385
P32497	Q05080
Q12154	P40029
P53632	Q08004
P40318	P53921
P53599	P40395
P18898	P40458
P42837	P32800
Q12084	Q05050
P25374	P38236
P33331	Q12123
Q05905	P32601
Q12297	Q12015
P39958	Q05809
P39524	Q04410
P42843	P02992
P24482	P30775
P53141	Q03937
P53146	P38077
P09032	Q01389
Q03691	Q12099
Q04002	P54005
P32943	P40055
Q03429	P32783
P40577	P00899
P23561	Q08215
P36162	P22803
P48559	Q12027
P25294	Q02574
P47129	P38957
P41813	P46988
Q02767	P33767
P38270	Q07930
P36132	P21304
P43561	P08432
P80428	P38991
P38825	P41735
P32565	P12695
P38064	P38217
Q12040	P25623
P34909	Q12308
P38427	P36049
P36024	P25569
P22035	P38238
P30619	P25343
Q12365	Q08285
Q06580	Q12518
P53039	P14064
P33891	Q06340
Q06632	P48566
P19658	Q02753
Q00381	P38996
P04803	P16664
P38809	P38242
P69771	Q02932
P32793	Q02725
Q04632	P38341
P53336	Q12009
Q08923	Q06091
P22696	Q06671
P23287	Q06493
P47051	P38187
P38758	P21306
P45818	P25270
P34730	Q04437
P46677	O13329
Q03897	P52919
P38333	P38874
P20095	P46983
P10964	Q12038
P15436	P38439
P53955	Q05541
P07834	P38339
P40496	Q12518
P04821	P27705
P26321	P36040
P40316	Q00723
P38805	P39735
Q07622	P07270
Q04272	P40541
P23287	Q03016
P50091	P22543
Q07732	Q00245
Q12118	P25046
Q08906	P0CX30
P00560	P38428
Q06338	P23638
Q02805	P35178
Q99299	P22147
P38121	P43638
P07284	P40014
P38164	P40314
Q06630	Q12502
P32368	P53010
P40573	Q12432
P20795	Q07528
P38203	Q02354
P38748	P07255
P36526	P11325
Q06616	P53135
Q06001	P53292
P53859	P41910
Q00684	P53742
Q07732	P43682
P39742	P32832
P40033	P53125
P38637	P13517
Q07887	P41911
P08466	P07866
Q03792	P53855
P08524	P10961
P39682	Q12041
P34247	Q02776
Q06389	Q02795
P38334	P40021
P53256	Q04636
P40157	P39946
P37254	P53037
P11747	P27476
P40060	P38850
P32864	Q03750
P38883	P46959
P32861	Q06205
Q01722	Q08622
Q12445	P40509
P53163	P32354
P32334	Q3E7Y6
P50113	P36161
P53280	P38153
P08067	P39985
P06104	P40466
Q03433	P38219
P39015	P38784
P15703	P41903
Q12267	P40187
Q04110	P32565
Q06287	Q06506
P36112	P22149
P41814	Q12114
P38719	Q99383
P32585	P21560
Q12334	P53281
P38907	P06784
P23293	P46983
P40693	P15019
P17123	P00815
Q02805	P38262
P40098	P47149
P53941	Q92328
P33753	P0CX24
Q03497	P25300
P19812	P54000
P33329	Q03976
P34166	P20095
P25039	P38123
Q12168	P08466
P40026	P27882
Q06159	P38931
P53313	P01120
P05739	P28791
Q12122	P35728
P25441	P23595
P16862	O60200
P05738	P06839
P25337	P56628
P38272	P47129
P32828	P53188
P53599	P07274
Q12242	P22289
P40975	Q06708
Q12477	Q06163
Q06479	P38187
Q03690	P32074
P24004	P53833
P38784	P47079
P17214	P0CX44
P40858	P36083
P0CG63	P87262
P53064	P46984
Q07528	Q02574
Q05040	Q06624
P25348	Q00402
P37299	Q08490
Q04080	P06786
P38210	P40106
P53166	P33399
P39531	P41806
Q03835	Q08204
P32893	P38833
P53829	P40546
P00431	P53718
Q03435	P36064
P34077	P39958
Q04739	P33339
P32862	Q12453
P38328	P17442
Q99258	P25368
Q08287	P07259
P38198	P40498
P25336	P00546
P40016	Q08749
Q03897	P33754
P20424	P14922
P40187	P53691
P53855	P47029
Q06132	Q92328
P38860	P40208
P02992	P29539
P39676	P53981
P32605	Q99234
Q05022	P47165
Q12476	P50947
Q08749	P35178
Q08966	Q12493
P36152	P25045
P89886	P32481
P25559	Q12211
Q99258	Q03792
P40479	P53724
P40484	P38738
P27801	P14020
P47141	P53146
P53140	Q07914
P53316	P38333
P52918	P25573
P49956	P35193
P53965	P39705
P35729	P32495
P23638	P36083
P47035	P28241
P05085	P38883
Q02196	P53942
P47104	P14682
P48361	P14306
P0CE41	P07213
P36224	P00572
P41808	P15891
P38313	P28834
Q02159	P0CX30
P38957	P14540
Q03254	P53011
P40496	P11792
P38112	P53930
Q06680	Q00539
P14164	P27809
P15367	P22213
P38629	Q02892
P40160	P07806
P46679	P69771
P53082	P47110
P20134	Q08951
P38181	P36068
P40024	Q06680
P07253	Q12434
P47079	Q05789
Q12514	P14906
P40070	P47128
P38766	P40150
P16387	P22213
P36117	P38817
P38958	P39969
P15891	Q06344
P25591	P34230
P40987	P25039
P32458	P10622
Q03707	P32585
P03879	P38218
P53096	P46973
P38249	P38265
P47112	P47124
P36104	P32613
Q02521	P53741
P40485	Q12314
P36096	P53320
P21372	Q12129
P38310	P46655
P47110	P22135
P33420	Q12004
Q12234	P36012
P36121	P38260
P21771	P32832
P87275	P07266
P53941	P12612
Q99220	P15436
P39079	P00330
Q3E7Y6	Q06163
P39012	Q06169
Q12411	P12945
P38844	Q01649
P53094	P18409
Q04935	P38861
P36517	Q12224
P53102	P39520
P43639	Q3E7B6
P35734	P25343
Q04477	P34164
P21827	Q07879
Q06479	Q03048
P53437	Q05568
P31385	Q12287
P32581	Q03920
P42935	P38996
P40073	P53507
P0C0W9	P40339
Q02796	P46954
P11709	P08153
P53829	P34217
Q08649	Q08923
P25638	Q99186
Q08562	Q3E6R5
P20486	P54787
P36012	P47081
P52917	P32571
P53145	Q06704
Q12344	Q03153
Q12402	P34230
P19516	P40559
P43572	P40358
P52593	P18852
Q03201	P33749
Q03532	P21374
P46151	P40013
P54074	Q12055
P53192	P53044
Q06389	Q02336
P25491	P50102
Q07896	P32833
Q08214	P32944
P13185	P06839
P36421	P36148
Q07845	Q03921
P08566	P38837
Q06624	P40154
P06168	P53289
P11978	P21339
P07261	P14291
P40077	P35180
P22082	P34226
P35719	P32787
P43573	P51534
P24004	P34230
Q02486	P41806
Q12387	P34758
P54791	P53196
Q99344	Q12743
Q08977	P00401
P53734	Q05543
P24279	P22214
Q12402	P47166
P00445	P36070
P38254	P17065
P48565	P53978
P42073	P50276
P36519	P33304
Q06707	P32628
P50105	P22354
P50111	P06242
P38742	P32862
Q03713	Q08285
P38212	P57744
P23179	Q04149
P50106	P32597
P13902	P38922
P32855	P22696
P17123	Q12403
P49704	P38274
P27616	Q02767
P32910	Q05933
P32943	P10363
P34730	Q00578
P24783	P38250
P38236	P31539
P38748	P41920
P53063	P38129
P36224	P36224
P35997	P36100
Q04307	P30619
P38426	Q12365
P46946	Q12224
P27351	P53220
P47122	P38218
Q03713	Q03290
P48560	P25642
P32479	P52488
P36094	Q05166
P40494	P47011
Q04947	P09959
P32836	P53114
P38041	Q02892
P32864	P33891
P53080	P40026
P21524	Q02205
P47118	Q04673
P34223	P40036
P52917	Q12308
P43612	Q01590
P40054	P43614
P31244	Q12432
Q03774	Q06208
P19882	Q08471
Q04087	P16862
P38920	P05694
P38236	P40457
P32610	P54000
P41940	P43583
P25584	P32489
O13539	P47049
P00856	P32660
P22146	P32945
Q12161	Q04177
P38910	Q96VH5
P06634	P20485
P69771	P14724
Q07887	P38738
P43583	P20606
Q07540	P12688
P53840	Q03373
P39967	P38803
P46995	P38872
P49960	P25374
P47029	Q05636
P32570	Q06639
P33753	P47149
Q06493	P39523
Q04272	Q08176
P38199	P47089
P06779	Q05040
P26321	P41832
P53202	P00830
Q3E840	Q06689
Q12229	P36122
P38064	P32904
Q04660	P40505
P07264	P40357
P39935	P04051
Q00402	P0CX28
Q05931	P06105
P39682	P43594
Q12156	P38266
P38797	Q08471
P54000	P12383
P32899	P53829
P36121	P46682
Q08162	P38292
P47110	P47064
P27616	P38042
Q03705	P32915
P39929	Q12514
Q12080	P17076
P22147	Q01589
P53261	P36523
P23900	P38270
P28274	P48559
P41811	Q02260
Q12380	Q06624
P47037	Q08232
P38307	P05747
P53267	P04039
P19735	P47110
P38999	P36421
Q12251	Q08966
P53082	P35127
P38263	P20437
P04456	Q12149
P53718	P0CG63
Q03327	P39967
P54785	P24583
P36517	P33296
P53037	P39904
P53086	P40362
P38828	Q08601
P33333	Q07084
P14120	Q12487
P32591	Q03337
P46151	P40096
P35184	P53718
Q12230	Q12314
Q12380	P38207
P47042	P42939
P09959	P52286
P41800	Q12455
P39718	Q08446
Q12216	Q06336
Q12468	Q03213
Q12510	P08425
P53968	P31373
P53064	P53235
Q02647	P38872
Q03790	P36516
Q06337	P40961
P39925	P40018
P32912	Q04549
P47042	P26786
Q04500	P31383
P36090	P40089
P32774	P12954
Q08492	P46655
Q12276	P39946
P40513	Q06211
P40084	P32913
P47049	P47042
P30902	Q08723
P04385	P47149
P38770	P40956
Q12255	P33323
P38590	P38803
P38815	P38990
P39935	Q06648
P40156	P38013
P38781	P10662
Q07794	Q3E7B6
P22146	P53128
P07806	P48561
Q12045	P27466
Q99207	P23301
Q12117	P47049
P14724	P36519
P39717	P15624
P19145	P39743
Q07879	Q03868
Q06412	P36112
Q04894	P46674
P38325	P53946
P41813	P32605
P28496	P53298
P10664	P0CX50
P40537	P53218
P38110	P38187
P35718	Q02932
P53295	Q12421
Q04847	P07834
P40468	Q06709
P49166	P14724
P38175	Q02803
P47118	O14464
Q04322	P47025
Q12466	Q99181
Q08649	Q12745
Q12330	P49723
P25368	P25296
Q04599	P07149
P53063	P69850
P40965	Q08032
P21264	Q12451
P32601	Q12156
P41911	P53218
P53080	Q04748
Q08446	P47171
P24869	Q12446
Q06525	P19262
P46964	Q01926
P53108	P42943
P40026	P53158
P32904	P20438
P36075	Q01560
Q12321	P24280
P12689	P38266
P69771	P38701
Q08742	Q6Q560
Q08438	Q99257
P53250	P32844
Q3E7Z5	P38829
P39923	P40956
Q08742	P32610
Q05670	P14284
P43597	P43568
P40024	P53617
P34233	Q08924
Q03323	P38636
Q12425	Q04199
P38719	P47129
P40484	P41819
Q01477	P38840
P36775	P48439
P36006	Q06506
Q06108	Q06505
Q12013	P53968
Q04373	P21524
P53933	P50108
Q07381	Q01389
P48562	P32799
P07806	P38637
