P48563	P25348
Q06163	P41543
P52488	P32842
P49573	P06782
P53080	Q00381
P42846	P40577
P36533	Q07845
P28495	P32908
P07266	P31377
Q02196	P14284
Q00711	P39010
P15703	Q04217
P53115	Q04748
P24869	P22515
Q05021	Q12287
Q02775	Q92331
P20967	Q08208
Q06340	P53187
P38264	P36018
P04802	Q03897
Q06412	Q04067
P22515	Q01477
P69850	P53958
Q12246	P39926
Q3E7Z5	Q12451
Q12380	P40495
P53863	P41821
Q03370	Q04839
P11927	P28817
P53112	P53959
P32354	Q04748
P53083	Q01159
P29465	P39015
Q12749	P36083
P38633	P40038
Q08214	Q02721
P32773	Q08109
Q12194	P38707
P47061	P39995
Q06287	Q06411
P21264	P38692
P32602	P52920
Q06389	P46678
P11491	P32354
P36046	P12612
P00854	P34167
Q12220	P22139
P39103	P19358
P53946	P39520
P25298	Q03088
P45976	P33333
P41812	P38985
P38637	Q05900
P23639	P47089
P53079	P38344
P14693	P32787
P53185	Q02892
P38217	P23638
P08525	P15019
Q00402	P36145
P41896	P43609
P39676	P53323
P16387	P40212
P53131	P12962
Q03707	P47054
P32366	P38426
P17214	Q08109
Q12749	P33322
P33418	P40019
P36519	Q06834
Q3E846	Q06568
Q12083	P53158
P33202	P32873
P07267	P38872
P34760	Q12341
P38337	P36009
P40565	P21374
P22214	P34160
P18851	P38742
P32893	P12689
P25693	Q04867
Q05775	P39929
P53858	P46962
P35191	Q02820
P09232	Q12196
P48510	Q12267
P12868	P16622
P40464	Q04894
P49089	Q04062
Q12455	P50623
P46965	P38751
P38968	P34164
P15703	P41833
P53043	Q03063
P06838	P53272
P48240	P32787
P06103	P38237
P30283	P50087
P32609	P47025
P36531	P53115
Q12168	P38132
P32501	P54999
P15624	P10663
P38219	P34221
P27636	Q08561
P53866	P39523
P53150	P53146
P46151	P40457
P38111	P43639
P53224	Q12248
P24583	P00427
Q12403	P53743
Q06493	Q12248
Q02516	P36130
P36068	P29461
P38881	P15731
P39925	Q06389
P38779	P02406
P11325	Q12449
P40106	P39944
Q07657	P27680
P04387	Q03630
P25382	Q07508
P32944	P11938
Q06648	P38266
Q06625	P32786
P23585	P40164
P35997	P14747
P38307	P53894
P25374	P32344
P47069	P00044
P40003	P15624
Q03016	P36019
P38881	P32489
Q07980	Q07980
P53115	Q08951
P48412	P20676
P10662	P43682
P28707	P47135
Q05080	P53298
P04037	P53897
Q01159	P23293
P42845	P34224
P54837	P38123
P54199	P05626
Q03976	Q06697
P23201	O13525
Q04172	P48589
P34217	P07260
P39984	P38315
P38336	P31109
P0CY11	Q12462
P28274	P16649
P13186	P32580
Q03212	P31787
P11632	P53313
P40344	Q06623
P38263	P38325
P32807	Q03976
P42836	P36523
P40344	P40072
Q12342	P49089
P32387	Q3E7Z5
P33760	P25369
Q3E7B6	P53272
P14284	P00958
O14467	P33750
P08964	P38011
P31376	P53045
P13185	P0C0V8
Q02792	P39729
P33329	P15442
Q02950	P40075
Q04549	P53317
P39717	Q08179
P43592	P39103
Q07921	P38957
P32915	P32839
P39984	P12904
P21825	P43568
P32797	P47093
P53114	Q04477
Q99383	P23724
Q01662	Q05787
Q04183	P47064
Q03323	P47029
P25357	P25649
P38987	Q02630
P00549	P23900
P39108	Q06205
P32491	P53901
Q12361	P54861
P23337	P39944
P46675	Q12298
Q04651	Q03375
Q03920	P15646
P35718	P29295
P32831	P53858
Q06672	P40356
P48582	P40562
P38187	P12954
P35184	Q04031
P47011	P38784
Q02196	Q04401
P36118	Q06405
P32471	Q12518
P32657	P19658
P08964	P19358
P40994	P40150
Q04377	Q08096
P32839	P39007
Q12461	Q12208
P32485	P28239
P32639	P48240
Q02793	P39717
Q06834	P09457
P32366	P38758
Q02796	Q12451
P53734	P20438
P09232	P18759
P00942	P53150
P36016	P29029
P12688	P40033
P53917	P53917
P36122	P32562
P20485	P32797
Q04748	Q05949
P41821	P12954
P39112	P32524
P56628	Q02889
P39108	Q00381
Q99216	P53724
P38250	P25635
Q08831	P53150
Q08444	P22204
P23644	P17119
P53968	Q04598
P17558	P43588
P46678	P36421
O14468	Q06169
P40055	Q12136
P38251	P47123
Q06103	P38138
P38276	Q12216
P25649	P21243
P53079	Q08003
P15731	P40487
P32344	P53600
P40486	P53163
P40858	Q12532
Q04693	P25294
P22133	P25390
P25339	P40056
Q04749	Q08581
Q06005	P08425
P15436	P38199
P15938	P08524
Q06163	Q02197
Q12055	P50276
P47088	P40314
Q08465	Q12248
P00410	Q12315
P36161	P21691
P23059	P53086
P40302	P06782
P43572	P48582
Q12298	Q03784
Q00873	Q07953
Q04062	P33767
P11076	P53040
Q03705	P36527
P38888	P38273
Q03750	Q03784
P04037	P47068
P23639	P38274
Q07963	P07261
P32288	Q07794
P38116	P46970
Q00362	Q06668
P00431	Q02196
Q12481	Q08754
P40026	Q12432
Q04359	P35187
P53141	P53939
P53040	P42844
Q05583	P38344
Q02784	Q08923
P53604	P38748
P24869	P40554
P19524	P0CX42
P34244	P53187
P32349	P12689
P38789	P33330
P02400	P38348
P46985	Q03687
Q03195	P25343
P54999	P34730
P40348	P13365
P14907	P39938
P39923	Q03308
Q03373	Q12477
P34233	P53290
P19158	Q02792
P40858	P38149
Q07844	P35845
P15790	P48363
P12709	P15705
P38130	P41818
Q04461	Q12229
P53946	Q00711
P40567	Q12072
P32485	Q03954
Q03818	P32796
P20081	P53141
P47129	P53859
P05738	P19882
P40046	P47075
P14164	Q06629
Q12165	P54115
P32898	Q06148
P47047	P53900
P40462	Q08754
P00830	P36064
P53170	P53179
P40498	P53192
P09938	P69852
P29366	P47019
P32629	P39706
P32419	P40208
Q05471	P39993
P53942	Q03954
P22517	P38193
Q12211	Q03433
P39735	Q12749
P38208	Q12432
Q08496	P22007
P42935	Q06107
P07236	P37838
P0CX28	P38852
Q03862	P43572
P16547	P53192
P43555	Q12366
P27929	P40018
P42838	P35191
P38011	P07249
P42837	P38212
Q06263	P40498
P22141	P39969
P10622	P40458
Q06407	O75012
P40368	P53327
Q12175	Q05024
Q12000	P20053
P04911	Q3E830
P06634	P00729
Q12373	Q07980
P38850	P46963
P53865	Q04673
Q04511	Q06411
P53068	P36094
P08018	P36000
P25579	P04801
P47113	Q02455
P17121	P11927
Q05930	P33301
P07264	Q00362
P14291	Q08818
P49960	P40202
Q05166	P60010
Q01163	P53062
P27692	P12687
P40043	P38523
P13185	P32259
P18410	P32606
P35181	P53195
P22289	P35180
P50109	P15424
Q03769	P81451
P38962	P33760
P35209	P36076
Q01919	P31412
P53628	P36149
P32773	Q01389
P27351	Q92317
P31539	P53955
Q04062	P16387
P14908	P36046
P38219	P21306
O13563	P46948
Q02983	P04821
P39531	P38337
Q04712	Q08003
P40187	Q04307
P52491	Q12341
P47024	Q03466
P40005	Q12311
O14464	Q12743
P38828	P46669
P46673	P23639
P28795	P38928
Q99344	P39001
P06105	P53140
P38712	P52919
P48560	P47074
P48360	Q12745
P21524	P32381
Q03944	P25368
P53150	P08018
P52286	Q06411
Q07794	Q00246
P24280	P13259
P36121	P0CX44
Q04177	P04386
P29539	P43605
P32611	P43535
P53313	P39929
P53281	P38822
Q12379	P07262
P36117	D6W196
P46959	P06786
Q02725	Q06580
P20438	P52488
Q06488	P40487
P40318	P25566
Q12206	P25386
Q07896	P40361
P39011	Q12493
P32581	P39923
Q12158	P25368
P32600	P38207
P32863	P07284
P0CX24	P38241
Q08906	Q12080
P28000	P06700
P14284	P05744
Q05791	P38237
Q12060	P35184
P36068	P38852
Q02196	P40492
P48565	P40975
P38766	Q12216
P40507	P11433
Q04195	P38874
Q06132	P42949
P53867	P34224
Q06671	P53207
P38789	P39016
Q02197	Q12342
P38682	P29496
P06839	P39010
P53297	P07281
P11075	O13516
P32910	P20485
P07257	P53604
Q08179	P14906
Q03496	P36160
P36525	P50945
Q06406	P40458
P38999	Q03213
P40486	P38072
P28003	P27999
P38911	P40537
Q12377	P09959
P06242	P05986
P39523	Q07953
P40212	Q12365
P18562	P13393
P38212	P47051
P13856	P38930
Q12186	P32939
P15646	P05756
P29496	P40456
P40505	Q99207
O14467	P11632
Q04048	P53849
Q12403	Q08226
P11433	Q96VH5
P20447	P38637
P13517	P54785
Q02336	P48566
P40343	Q03161
Q07468	Q06648
P32351	P40045
P36159	P47165
P38794	P36131
P40992	P52910
P40581	P28006
P25584	Q03338
P15367	P40210
O13297	P38147
P38426	P20436
P38785	Q12142
P38888	P33329
P38065	Q08773
P47104	Q08957
P32570	P38349
P40969	Q08226
P40537	P17119
Q96VH5	P38310
P43598	P43572
P41896	Q12366
P40458	P32606
P53733	P39083
P39007	P53179
Q06616	Q06568
Q08412	P25270
P35178	Q03713
P28817	P19736
Q06479	P29468
P23644	Q02724
P54790	P53900
P53038	P40958
P47047	Q12276
P01123	Q12452
Q08278	Q12013
P25693	P53188
P46957	Q12471
P22135	Q06625
Q12508	Q12446
P46655	P38811
P49334	P48363
Q04062	P53733
Q08144	P43558
P20049	Q12471
P52868	P51534
P40080	P39526
P40565	P10964
P32356	P40361
P39727	P14681
P50105	P32828
P32892	P40562
Q06287	P27344
P38719	Q05541
P33339	P53318
P22543	Q99258
P40359	P40498
P38615	P53141
Q03406	Q12509
P42943	P40327
P40096	P20606
Q03375	P38274
P53734	P25359
P39990	P32898
P36148	Q03921
P25385	P40851
P40024	P0CX87
P26570	P11075
Q04930	P40018
P48412	P32356
P38212	P25296
P40955	P32499
P12612	Q08646
P42939	P32861
P47150	Q07533
P48582	P32599
Q06236	P39952
P27344	P35817
P38860	P54000
Q12333	Q06697
P32914	Q01649
P41896	Q99332
Q6WNK7	Q12499
Q04781	P53125
P0CX50	P46674
P25719	P33892
P33304	P53165
Q3E6R5	P20676
P28791	P40458
Q12265	P47141
P38719	P53538
P27351	P00890
P36076	P53316
Q04964	P40494
Q08444	P06169
P01123	P22007
P33416	Q04779
P22803	P36118
P32458	P39955
Q08496	P38879
P43568	P00549
P26798	P26786
Q02794	P39965
P43609	Q96VH5
P89114	P39522
Q00245	P14120
P07347	P40494
Q06616	P04050
P38187	P53146
P47104	Q05468
P41697	Q06159
Q06810	P39081
Q06836	Q12468
P08678	Q3E829
Q04924	Q12446
P32776	P36070
Q02821	P19659
P32830	Q08562
P36162	P10862
P39524	P53552
P39676	P32499
Q07896	P40693
P54784	P35997
P16451	Q06339
Q03768	P15367
P47042	Q12434
Q02884	P38751
P13393	P04786
P40154	P40064
Q03308	P07259
P19262	P43621
Q00245	P54199
P14747	Q06410
P50942	P32368
P04819	P00950
P39538	P53068
P00830	P05453
Q3E7Y3	Q02772
P08067	P10964
Q03782	P32943
P38633	Q12420
Q04697	P53600
P40509	P38272
Q12154	P08466
P38250	Q06218
P57744	P36104
P38907	Q12449
P32479	P53068
P39083	Q05123
P38712	P40064
P06208	P53437
P28004	Q06103
P40352	P32597
P40066	P32800
P40314	P36056
Q06188	P32895
P17076	P43621
Q06340	Q12194
P36100	P40477
P33315	Q00618
P40450	P04911
P38737	P23641
P02294	P07253
P25293	P40957
P38302	P14922
P53266	P22139
P20449	Q12030
P36041	P38633
P53045	Q06096
Q05518	Q07468
P39077	P38687
P32344	Q05635
Q06245	P18496
P0CX42	P32861
P15367	P32480
P34162	P40359
P23179	P25847
P43638	P33339
P33313	P47076
P38883	P36016
P49017	P08067
P38199	P38922
P34223	Q08683
Q08966	Q12018
P31111	P07255
P53250	P53067
P28495	P29539
Q05359	P32860
P25043	P80967
Q08096	P28006
Q02792	P53278
P09436	Q08966
P40038	P50102
P43591	Q12146
P42900	P49960
Q06178	Q08204
P16387	P38821
Q06162	P17121
P33753	P53949
P32367	P53724
P21827	P22517
Q12267	P33750
P38781	P40469
P32333	P12866
Q06440	Q07879
Q04322	P40494
P47061	P53855
P43614	P52918
Q03687	P53197
Q12181	P38688
P40581	Q08649
P18239	P32794
Q06675	P26786
P40395	Q12446
Q06704	Q05900
P39111	P38856
P12709	P40066
P47035	P38426
P53540	P50946
P38439	Q03124
Q04839	Q00402
P40496	P32641
P38881	P38811
P32909	P40038
P20606	P53930
P39935	Q02574
P35207	P38615
P36049	P36523
P20606	P07834
Q07807	Q07528
P53032	P38261
Q12154	P39722
P13712	P36076
Q08387	P46674
P53114	Q12049
P15703	Q03690
P28778	P40961
P31412	P32863
Q03899	P38637
Q04031	P14284
Q04322	P18239
Q03718	P32944
P53305	P32915
P21734	Q08004
P53176	P0CX30
P08964	P46963
Q04217	P40096
P22696	P22353
Q3E829	Q03835
P38237	Q08553
P38855	P05744
P04840	P25348
Q99314	P34087
P38912	P41814
P38833	Q6WNK7
Q02574	P53157
Q06132	P53336
P53741	P35996
P27466	P26786
Q12308	P40515
P41901	P22035
Q03338	Q03954
P51998	P32366
P14742	P41834
P38862	P33755
P32447	P40513
P26637	P25646
P43586	Q02969
P40348	P40507
Q03048	Q07979
Q08961	P39676
Q12365	P0C0W9
P33421	P34072
P54837	P40994
Q03338	P40164
Q12311	P36022
Q02767	P25655
P38844	Q08818
P05750	Q00578
P14736	Q06640
P49334	Q00772
P47136	Q12347
P28006	P06242
P33329	P25369
P53983	Q08920
P27705	P26637
P53883	P53082
Q03088	P32074
P42943	P48525
P38127	P32773
P40505	P40366
P41819	Q06412
P53271	P40202
P53323	P39526
P38116	Q12072
Q07508	P53538
P40563	P43586
P46676	P43561
P53867	P53195
P34237	P25558
P38833	P18494
Q12248	Q08683
P32259	P15705
Q12027	P30283
P47113	P32873
Q04370	P26783
Q12154	Q04431
P36123	P38217
P36521	P21372
P40464	P40858
P69851	P36018
Q99325	P13517
P09932	Q03390
P45818	P29461
P10964	Q05610
P00427	Q05930
P38356	Q12338
P35056	P33298
P47035	P51534
Q03868	P42951
P34162	P50094
P47049	Q12754
P53604	P40512
Q03388	P53866
P35718	Q05933
Q12333	P39012
P38816	P53158
Q12446	Q01939
P69851	Q02931
P25385	P09436
Q07528	P41546
P35179	P25632
P32773	Q06163
P29056	Q03496
P07284	P35209
P38687	P25038
P32602	P42935
P38957	P39078
P32342	P41807
P47075	P32904
P50875	P35127
Q06704	P40577
Q03162	P47037
P53971	P32874
Q03016	P53191
Q9URQ5	P36053
P40358	Q03579
P32496	P53102
Q03920	P43321
P40357	P01123
P53299	Q99176
P33421	Q99260
Q06344	P53937
P25454	P38910
P22470	Q06236
P53971	P11491
Q12013	P20449
P22147	P53168
Q08732	P48564
P36525	P39104
P06105	Q00245
P53861	P17214
P43579	P24783
P19516	P40340
P53136	P36124
P38852	P35187
P29465	P40161
P15624	P39521
P48560	P33442
P53921	Q12338
P38922	P15442
Q03455	P25045
P40856	P37297
P53253	P32342
P25300	Q02753
P32364	Q12342
P33441	P42841
Q08816	P14284
P40038	P38826
P02829	P18562
P38264	Q08920
P36421	Q12389
P38771	P53914
P32495	Q07794
Q02630	P32828
Q08726	P40485
P02992	P07703
Q03829	P06787
P27636	P53248
P20447	Q06406
P16370	P41697
P40486	Q04867
Q03338	P32378
P22804	P32796
Q01590	Q12402
Q00711	Q06263
P16474	P39081
P53145	P35734
Q06106	Q03125
P18851	Q12009
P40352	P41546
P15303	O13563
P00401	Q06217
P39524	P32378
P09436	Q03976
P22211	P40460
P25642	Q01560
Q01477	P38305
P41819	P39078
P40511	P34087
P48363	Q03799
P53196	P40352
Q03330	P43639
P02992	Q06178
P47042	Q12122
Q08032	P38934
P35996	P32527
P47187	P36005
P38859	Q99278
Q12102	P47035
P53235	Q04779
P09457	P53921
P35193	P29703
P53115	Q03899
P40154	P38042
P32521	P27882
P07560	P28007
P36130	Q02795
P53881	Q05930
P53326	P13365
Q02724	P19812
Q12396	P33416
P53617	P29340
P38165	Q12033
Q04149	Q3E829
P11632	Q12208
Q12223	P39926
Q92328	P43124
Q01159	P53437
P23638	P32525
Q00764	P40563
Q12271	P38334
Q06385	P40498
P0CY09	P17157
Q01662	P40548
P38325	P38737
P32897	P40036
P34761	Q08438
P40567	P40450
P14127	P40555
P04786	Q06440
P18480	P38624
P53102	P32945
Q06108	P36018
Q12124	P18480
P00924	P25651
Q12368	P32939
P38629	P46957
P54860	P40106
P53311	P53552
P38292	Q08446
Q08963	P41808
P40342	P38823
P40554	P12753
Q12532	Q12348
Q03976	P47093
P07342	P53038
Q07732	Q12287
P20438	Q03067
Q06525	P0CX44
Q06102	P36517
P53039	P38241
P40054	P48415
Q06820	P39875
P38757	P38700
P32445	Q05919
P38250	P40511
Q12440	P38879
Q03829	P52553
P37254	P07267
P89886	Q12251
P21268	P61829
Q07478	P40364
P32581	P53323
P53318	P38927
Q12066	P43592
Q02794	P49686
P47187	P12383
P07390	Q07540
P52870	P53295
P07281	P25491
P53246	P27929
P23641	P40033
Q07800	P36102
P54837	P21372
P46948	P32832
P14540	P54000
P29469	Q04491
P30902	P20084
P14742	P05373
P06168	P39104
P53890	P34222
P38855	Q06680
P00950	P36090
Q12241	P46946
Q03308	Q06625
P02294	Q06706
P20437	Q12123
P40693	D6VTK4
Q03455	Q03429
P38042	P47135
P38714	P26570
P25453	P27515
P43124	Q02796
P53083	Q05580
P47130	P34167
Q08199	P32628
Q12224	P40087
Q04002	Q08689
P21771	P14126
P40507	P38439
P40036	P06100
Q06078	P36024
P41911	Q04651
P50945	P40492
P0CX46	P32504
P00937	P53933
Q08649	Q02574
Q02554	Q08729
Q06836	P22276
Q07540	P11972
Q03323	P53843
P52918	Q12223
P20053	P53080
P53905	P38819
P53220	P42847
Q12168	P06208
Q02821	Q07913
P34761	P53974
P28778	P00890
P25368	Q03430
Q03723	P48560
Q12461	P43618
P47130	P00856
Q00402	Q07821
P89102	Q12348
P25343	P38781
P23287	Q6Q546
P08153	P53724
P42945	P43563
P05739	P87108
P33203	P12695
P32774	P38785
P10964	P53251
P38784	P18496
P06105	P53189
P32773	Q04549
P40541	P32939
Q05931	Q08831
P38212	Q04472
Q04847	Q03496
Q06005	P41911
P53844	Q04067
P25344	Q03981
Q03201	Q02775
P39704	Q06640
Q02204	P15424
P12383	Q12329
P32367	P43588
P39954	P40357
P40993	P24870
P14737	P39515
P53082	P39955
Q08176	P48240
P38232	P38884
P47103	Q04007
Q92317	P19880
Q03125	Q12483
P38860	P38193
P08678	P00044
P34252	Q12255
P50077	P23833
P53847	P53195
P46962	P04786
P53871	Q12311
P40038	P25693
Q12059	P34111
P53732	P22276
Q07845	P40210
P41909	P04819
P38798	P40466
P38960	P10664
P40487	Q12748
P33767	P02294
P32915	P53858
P08466	P32502
P38149	Q07953
P38798	P43598
P53298	P43609
Q06625	Q08977
Q12420	P22147
P52593	P40086
Q08491	Q99257
P11632	P47061
P43545	P33297
Q04632	P23643
Q03981	Q05775
Q12149	P40007
Q03212	P25300
Q02932	P39944
P48565	P16861
P43122	P25294
Q06032	P35179
P18412	P38809
P36130	P53008
P17119	P11914
Q03630	P53061
P03069	P47049
P38820	P22515
Q06673	P53900
Q03790	P47047
P40314	P53844
P14908	Q99325
P33296	P38351
P13433	Q05027
P05986	P19516
P11491	P38746
P22354	P28241
Q04493	P0CY11
P24276	Q12434
Q08646	P38219
P41834	P40327
P22219	Q05610
P50105	P14736
P53010	P30775
P39076	P07806
P39081	P00924
P05317	P32335
P25605	Q07913
P30902	Q02732
P33749	P38144
P34218	Q05040
P38688	Q12040
P32388	P41896
Q02260	Q04341
P38772	P54787
P38771	P38737
Q12250	P38794
P07143	Q92331
P33411	P34078
P06105	P47015
P14747	P38771
P40494	P53736
Q05934	P38791
P40577	P41812
P46946	P32844
Q06108	P53390
P25359	P36070
P06839	P54785
Q12084	P43564
P00546	Q12049
P31787	P04801
P08524	P38853
P39875	Q05919
P38764	Q04599
P20433	Q04632
P33775	P34111
P38819	P38859
Q12745	Q05471
P43122	Q3E830
P53136	P38072
Q03503	P40968
Q12734	Q01560
P07269	P08964
P53248	P32381
P38261	P54786
P87275	P40013
Q05040	P25491
Q12379	P41814
P29468	P42843
P50874	P40202
P38692	P34252
Q06673	P32333
Q03656	P38182
P53140	P40518
P25604	Q04868
Q08749	P0C0V8
P46669	P32565
P14907	P40466
P54999	Q04210
P53983	P38985
Q06106	P14907
P36119	P53008
P25039	P15180
P47187	P46672
P20095	Q03370
P36108	P40316
P32581	P38688
P40339	Q08484
P01097	Q12164
P34162	P23255
Q12199	P38555
P36124	P32911
P53871	Q03088
P53083	Q12262
P00815	P09457
P38991	P46973
P38801	P47075
Q12246	P38426
P17157	Q07653
Q04279	P53734
P37291	P10962
P40090	P38429
P39727	P54860
P53743	P0CS90
Q05933	P20676
P47011	P34252
Q12216	Q12743
Q08245	P38254
Q07533	P00431
P34224	Q99325
Q02931	P31539
P39073	P53091
P41909	P52891
P40318	P01123
P38203	P21827
Q04847	Q08162
P32832	Q12107
P40325	P13185
P25302	P53971
P37267	Q03497
P26783	Q04213
Q02932	P32844
P50102	P40453
P61829	P30283
P32841	Q06208
P53921	Q12309
P28007	Q99382
P46944	P22517
D6W196	P29340
Q12246	P39008
P31376	Q00416
P15646	Q08229
P38861	P48836
P38859	Q03630
P47079	P53327
Q02455	P30656
P17119	P38819
Q07963	P14180
P42843	P34224
Q07350	P18480
P80667	Q12395
Q00582	P36531
P14120	P40208
P00830	P38810
Q03496	P38999
P20084	P53327
P50091	P36517
P34225	P36131
P48563	P53552
P25045	Q04477
Q02820	P46984
Q03390	P32522
P38797	P38274
P36068	P40161
P40368	P48565
P05744	Q05791
Q03661	Q03956
P47019	P50947
P36040	P11710
Q06340	P38764
P35997	P53330
Q06071	Q12379
P50094	P06839
Q02795	P06100
P41318	Q12464
P20447	Q12377
Q07458	Q08215
P33309	P06778
P11491	P53191
P54787	P35179
P53851	P53195
P40341	Q04007
P39980	P69850
P61829	P06197
P32908	P32347
P18759	P32844
P47048	P25368
P69852	P19073
P21771	P89886
P05373	Q12114
P32786	Q12522
P28003	Q07540
Q07921	P32793
P10662	P22141
P32499	P36046
P30657	Q3E840
P50086	P32571
P29055	P52491
P53942	P42845
P41811	P38629
P54113	P38305
P38042	P38805
Q05635	Q2V2P8
P32803	P38162
P38738	Q02685
P06844	Q92325
P53552	P06777
P27344	P04037
Q08245	P32800
Q04779	Q07844
P38328	Q04264
Q12338	P35056
P33417	P39984
P09436	P32493
P53201	P69771
P46970	P32525
P40021	P49167
P38736	Q3E840
P40079	Q04867
P32565	Q06132
P07390	Q12349
Q12464	P07262
P53032	P34166
P38827	P33895
P21827	P53604
P14306	P53734
P32874	P53168
P48581	Q92317
P02557	Q08412
P46655	Q06819
P89886	P61829
P32910	Q03435
P40856	P10961
Q02725	P53157
P06839	P54786
P39702	Q12154
P40484	P13393
P22139	Q03071
P35194	Q06706
Q02486	P06103
P46959	P40019
P53633	Q04868
P36006	P39011
P38700	Q02554
P32895	P32860
Q06682	P53152
Q01589	P40957
P14126	P28778
P00931	P47064
P40530	Q06163
P20050	P40056
P32461	P40464
P36531	P38121
P40325	P07284
Q12084	Q12216
Q03503	P36516
P53937	P24276
P40339	P07264
P17883	P39111
P38637	P39929
P50623	Q03774
Q05931	P40069
P53330	P30619
Q12527	P53901
P11938	P11972
P38856	Q12530
Q12186	Q04377
P50102	Q03088
Q12255	Q12129
P47005	P36526
P33891	Q06405
Q00539	Q08601
Q03497	P50623
P39946	Q04341
Q12463	P35181
P42939	Q07821
P06634	P37366
Q02721	P46944
P05030	P20486
Q08906	P36000
Q06629	P53691
P38781	P38084
Q92317	Q07914
Q12262	P23585
P32602	P40091
Q3E835	P53207
P47150	P32388
P10507	P38768
Q02771	P32432
Q08831	P32911
P36024	P26793
P38274	Q03435
P53043	P32367
Q00772	P29366
P05030	P39958
P49166	P53141
P52488	P43614
P27801	P53858
P01120	Q12338
P32613	P04821
P32453	Q04213
Q03921	Q12445
P40518	P22803
P47117	P10664
P50946	P40957
P40020	P54885
P20484	P39960
P38820	P09457
P08466	P53148
P50623	P39077
P01120	P40208
Q06005	P27999
P40204	P26755
P15303	P13382
O94742	Q02457
P32361	P26793
P53039	Q02685
P20107	Q12343
P00937	Q12049
P04050	Q07878
Q99222	Q07442
Q02784	P38349
Q03338	P81451
P26754	Q08176
P38902	Q08742
Q01560	P40851
P42935	P32774
P47108	P39515
Q04839	P24279
P46963	P32468
P50108	P22211
P39103	Q04410
Q12468	P53722
P13185	P50946
P52868	P40450
P40340	P40316
P00427	P31376
P00431	P43573
P40990	P32613
P00330	P38824
P35191	P20433
P32497	P25385
P0CY11	P40465
Q04322	P39965
P53937	P40157
Q12449	P25337
Q04048	P38266
Q12488	P48565
Q07084	Q04749
P40494	P53930
P38985	Q12046
P47124	Q12464
P46682	Q12241
P34232	P38041
P53858	P32895
P00445	P25270
P46676	P30619
P43596	P29366
P07213	P20457
P53833	Q03195
P39735	P36012
Q12440	Q03390
P38782	P20433
P40016	Q05942
P0C2H7	P48232
P34078	Q08773
P38797	Q12425
P25582	P53254
Q08235	P32793
P52918	P53032
P38011	P53335
P36018	Q08245
P69851	P38334
P54784	Q03465
P27344	P41057
P53909	P31377
Q3E6R5	P40314
P40210	Q3E7B2
Q05080	Q08622
P27929	P14540
P25626	P32453
P46965	P01149
P38212	P38861
P34224	Q03707
P38786	P38203
Q12038	P40016
P53250	P14747
P36019	P53847
P38344	Q03973
Q04477	P80667
Q12335	P39980
P32419	P40975
Q06385	Q04949
P07253	P23642
P36048	P53973
P25648	Q03897
P47129	P07259
P29340	P32797
P38632	P47074
P25656	P25368
P53086	P20676
P53311	Q04839
P47029	P39925
Q08581	P48240
P32787	P07264
Q04969	P41818
P43563	Q05778
P07249	P38764
P52910	P53718
P41806	Q02196
P46963	P40210
P14747	Q05779
P16649	P22133
P53865	P26449
P23642	P46678
P38266	Q03785
P34111	Q12368
P32860	Q02199
P38720	P37297
P53289	P35719
Q06389	P34162
P10849	P41805
Q02336	P27344
P53277	Q12386
P32565	P16522
Q07395	Q12262
P28239	P39960
Q92317	Q00246
P47061	P32783
Q12361	P25368
P24276	P38759
P04802	P28006
P21827	P41821
P46672	P17106
P22470	P12753
P40096	P00830
Q03957	Q12403
P25366	P48510
Q04500	Q12123
P47015	P32341
P38247	P22438
P34078	Q01080
P47113	P25566
P40554	P39520
P08525	P53871
P20050	P32381
P38738	P32944
P36019	P53038
P36064	P53901
P17442	P20449
P39517	P0C0W9
P34241	P39522
Q06406	Q04213
P53894	P33759
Q12486	P38236
P32786	Q12175
Q04437	Q07913
P38815	P05756
P22515	P34164
P48582	P39079
P25515	P48415
Q03920	P07286
P05085	Q08287
P39946	P53061
P24867	P32783
Q12461	P33338
P20436	Q02642
P43579	P61829
P32501	P53866
P00360	P37262
P14291	P38882
P34087	Q06090
P27680	P38218
P53333	P32895
P0C0V8	Q04225
P39723	P39742
P34230	P31376
P53276	P47822
P42837	Q03466
P47075	P40078
P17076	Q04195
P25357	P31384
O75012	P33330
Q03735	P40090
P17123	P38782
P53044	Q07541
P47089	P69852
P43122	Q04080
Q00916	P47118
P54999	P42846
Q02204	P04449
P21243	Q08924
Q02206	Q05791
P23561	Q05040
P09064	Q04080
P35997	P40970
Q03705	P33754
P53622	P23644
P48559	P46669
P53971	P40452
P04051	P39980
Q06675	P38766
Q04370	Q01560
P24280	P12695
P37262	P25694
P53224	P38170
Q12223	P00445
Q06412	P50110
P32333	P54999
P34241	P40341
Q02608	P25451
P38265	P38074
P39958	P53093
P46959	P38310
P12686	P32479
P17157	P39954
P38822	P13712
P36148	P38241
P38866	P38283
P26783	P37267
P06168	P32893
P05743	P48606
Q02948	Q99380
P53877	Q02805
P36016	P03069
P53865	P40348
P06102	P07250
P25441	P32828
P38251	P36009
P32639	Q03430
P14164	P38590
P39103	Q06091
P31412	Q07395
P32600	Q02793
P43579	P38339
P07255	P36532
Q12055	P47103
Q06337	P48562
P34218	P32562
P40515	Q12154
P38821	P32341
P40969	P13856
Q06410	Q12040
P36015	P08018
Q12488	P17891
P38737	Q08273
P20436	P0CX24
P40077	Q12066
