Q8TAI7	Q9HC62
P45381	P0DPB3
Q9Y6G3	Q5T7V8
P06858	O14662
P55884	O95947
Q9P2D1	Q96N67
Q86YS7	Q14247
Q16602	Q9H078
Q92552	Q02363
O94782	O60493
Q9HCI7	P15559
Q12904	Q96ST8
Q9NV31	Q969T4
Q8TEH3	Q96GX1
Q96CB8	Q15054
P08575	Q8N987
Q14247	P85299
Q9ULJ7	Q9H0A6
P34897	Q8NFY9
Q9H5K3	Q9NZU7
P21283	Q6ZT98
Q14152	Q9NQX3
Q8N6Y0	Q5JSH3
Q9Y5A6	Q9UBF1
Q99714	Q9H6U6
P14735	P13489
P08865	Q9Y3I0
Q15003	P27695
P78537	Q9H4E7
P48552	O43324
Q15004	O94888
Q02930	O60239
Q9BSL1	Q9H967
Q9UJ41	Q9NT62
P54709	Q9UDY6
Q8N2I9	P21854
Q5EE01	Q86UR1
Q6UVY6	Q8N5F7
O43172	Q6EEV4
O95319	Q9NYP9
Q96DR5	Q96QD9
A9UHW6	Q96E14
Q00765	P40938
Q92769	P02730
Q8N9E0	Q8WXA9
Q9BQ89	Q9BYG3
Q9UNQ2	O95182
P11712	Q1MSJ5
O43474	Q9Y6X3
Q7Z628	Q9NZN8
Q7KZI7	Q15038
Q5VIR6	O75928
Q9UHY8	O75865
Q6IN85	Q8N1I0
Q02539	Q9UJX5
P0DTW1	Q6MZQ0
Q9UNY4	Q9H9H4
O15116	Q15327
Q9HB65	P42336
Q53S33	Q99732
P35900	Q92993
O95363	Q8N9R6
Q8IUC6	Q15125
P28360	P31150
P13693	Q14980
Q92560	Q9H9A5
P35249	Q99062
Q03933	O75689
Q9UBP5	Q9BSB4
Q00872	P16471
O95347	Q9NR46
Q9UKF7	Q13569
Q8N2I9	P0C7X2
O60942	P18075
Q96EX3	Q53QW1
Q00597	O43303
O00750	Q96F86
Q16849	Q8NEY4
Q9H867	O15165
O75486	Q96BK5
Q8WV44	Q9BZI7
O14737	Q86WV5
Q68D85	Q8TBC4
Q9NYN1	Q9UFD9
Q96DI7	Q9BRK4
Q13451	O95997
Q9BVN2	Q9BY50
Q96DF8	P17931
P78504	Q9UPN6
P10073	Q6ZTQ3
Q99638	Q99996
O14867	Q9Y496
Q8N6V9	Q9NV70
P52565	P05496
Q6ZMZ0	Q86XL3
Q15048	O15392
Q8N6G5	Q8NC24
Q96MX6	Q12769
Q8N8N0	Q15363
O15372	Q9UBC3
Q71U36	Q8WUW1
Q14999	P04062
P30101	Q15555
O43482	P52434
Q86U28	Q9NXR7
Q96L50	Q92519
Q9NUJ1	P62508
Q9BXY4	Q9NTW7
O00178	O15066
Q5H9K5	O43707
Q92837	Q9Y2L9
Q9HAV4	Q13190
O95363	Q9H7T9
Q969U6	P15313
O60678	P00540
P37268	P49959
P43363	Q8IYA8
Q02363	Q86UL8
P31949	O15344
Q9Y3C5	Q15369
Q4KMQ1	Q9H0W5
Q9Y2J0	Q9UID3
Q5R372	Q9BTD8
P56279	Q08752
Q9C026	O60683
Q8IYX8	P00736
Q9UJX5	Q9NY61
Q92783	Q9UPN6
Q9Y3T9	Q9NSY1
Q8IYF3	Q96LA8
Q15165	Q9BZ95
P48023	Q96T60
P02748	P00533
Q8WV99	Q8NB78
Q149N8	Q9UL45
P11686	Q9Y283
Q96RT8	Q8N143
Q9NWS0	Q02539
P49848	Q9HCE5
Q9NRR5	P10747
Q9ULB1	Q13115
Q03135	P05549
P25686	Q8WTS1
P30291	O95257
Q9BVL2	P51809
O00198	Q9H840
P04004	P35637
P52657	Q9BSU1
Q6XZF7	Q7KZI7
Q96F15	P14854
P15918	Q96JM7
P35659	P23434
Q06481	P13010
Q9HC62	Q8N1E6
P24539	P15976
Q92851	Q8N9E0
O43759	Q9Y2U8
Q7Z6L1	Q9HD26
Q8IZ07	O43684
Q9UNN5	Q9H5K3
P35221	P78406
P02794	Q9Y3C6
P55011	P38398
O95704	Q8IXM3
Q15459	Q9UEU0
Q9UBW5	O14775
P35070	P10243
P26678	Q9H6L4
P16435	Q96AT1
Q96BK5	P53611
Q5VTD9	P54277
Q9P2A4	P15259
Q9H2F5	O94826
Q96FX2	Q8N8S7
P52948	Q7L5Y6
O95602	O95343
Q9Y6B2	Q9UQE7
Q96RJ6	Q8IY92
P29083	Q8WXH0
Q9Y5L4	Q9UHC1
O75843	P08962
Q9BTE1	P06213
Q2I0M5	Q9NQT8
Q68CQ4	O94885
P51826	Q5RL73
Q8N6T7	Q96H86
A2RU67	Q99075
O43242	Q96JK2
O14786	O75943
Q9NZU7	P28335
Q9H000	Q96P48
Q8N143	Q8TAE7
P09496	Q53TS8
P54253	Q8TDY2
Q9UBF1	Q9XRX5
Q8TF46	P35658
Q15170	Q969Q5
O95644	Q9BW61
Q13151	O75953
Q6ZT12	P32004
Q92820	O15379
P46777	Q9BUN5
P02746	Q9P2N7
Q13371	P09529
Q96EF6	P23229
Q96J84	P78345
O75208	Q96G74
P98164	Q96IZ7
P28065	P29374
Q9Y2Q0	P62424
Q8IXQ5	Q8N4V1
P38159	Q13137
O60861	Q14159
Q5XPI4	Q969X6
Q8IUI8	Q15904
O75177	O00264
O14653	P21980
Q08379	Q9BV97
O43432	P16471
O15482	Q9H0I2
Q9NR81	Q2M3C6
Q7Z417	O43791
O00401	Q9HC98
Q99741	Q5T7W0
Q8IY42	Q9BY43
Q9UI09	P09105
P49755	P49411
Q86W42	Q96AG3
Q9UBK2	P32243
Q14444	Q6PGQ1
Q8N7W2	Q969R5
Q01344	Q13098
O95704	Q92598
P28066	P49354
Q9H6R0	Q00613
P46779	P26640
Q96AH0	Q9Y618
Q7Z698	Q9NSD9
Q86WR7	Q9Y3N9
Q9HCG7	Q8WV28
P41217	Q13148
P60484	P09067
Q13867	P05129
O14901	Q14697
Q5VV42	P49790
P24588	Q96IK5
Q7Z434	Q86V81
Q14019	O14727
Q9H7D7	O43156
P13612	Q9UGP4
O43292	Q9NRW7
Q6ICB4	O75175
Q8N5F7	Q8N2M8
O75140	Q9ULZ3
Q9Y5P4	Q9UKA4
Q9H8E8	Q9H7B4
O43310	Q9HA47
Q13506	Q16543
P11717	Q53HC0
P48061	Q9GZM5
O75791	Q9NX65
Q70EL1	Q9Y6N9
Q14168	O95721
Q13625	P19388
Q5VWQ8	Q9BQG0
Q99612	Q15276
O15217	Q9HAT0
Q96IZ5	Q96MU7
Q13569	Q92597
Q9BWH6	Q9NXJ0
Q9NV56	P28360
P52306	Q9ULX3
Q13480	Q12769
Q86WT1	Q8WTP8
P56945	Q7L590
Q02447	Q12888
Q8N6U8	Q9NXZ2
P20333	Q8N386
O14976	Q75N03
Q14183	P49916
P09564	Q96S96
Q9UEU0	Q2KHR3
O60880	O75531
Q9Y2Q0	Q70EL4
Q8N140	Q96LK0
Q13435	P03950
Q96DV4	O00308
Q8IYS0	P01579
Q6GPH4	Q9Y6I3
O60437	Q8TBF4
P63218	O95183
O14802	Q96MW1
O75843	Q9BVM2
O00327	O95231
Q7Z3B4	Q9NPD8
P14854	Q8WWW8
Q8N5Y2	P07919
Q86SQ0	Q13586
Q96EC8	Q8TAA9
Q9BRV8	Q5T5A8
P24390	P61088
Q92564	Q5T700
Q14999	Q5JVL4
P14406	Q5SRE7
Q13356	Q8NFF5
Q9NYR9	Q6P3X3
Q9HAT0	O43439
P51617	Q9H8W3
P23921	O95231
P11137	P11177
Q01813	P05106
Q8WUA2	Q6ZN55
Q9P2W3	Q09013
Q96AJ9	Q9C0C2
Q9H3Z4	Q17RD7
Q96EL2	Q99653
P13051	Q9Y5Y5
Q9BRR9	Q9H792
P52655	Q9BQA1
P62979	Q8TCD6
P48431	O14929
P18031	Q6P1J9
Q7Z589	P27658
Q4AE62	Q14257
Q96L50	Q96MF7
P20594	P62826
Q7Z6J6	Q9H7E2
Q15018	Q12913
P23508	Q9P2K5
Q8TD10	Q969W3
Q13017	Q16773
Q86YS7	Q9UNI6
Q6ZU52	Q5VIR6
P16471	Q8N5M1
P42025	P10600
Q8NFH5	Q6N021
Q6ZUT1	O96019
Q99966	O00221
Q96L50	Q9UPM8
O43143	Q8WV24
P61088	Q9P2L0
O15055	Q12929
Q02078	Q8IVS8
Q6VMQ6	Q969V5
Q9BXK5	Q3KNV8
Q8WV60	P49711
Q9Y2J2	O95279
P02730	Q9UI14
Q9UHV2	Q8WU17
Q6VMQ6	Q14134
Q9NYS7	P35372
P23352	Q9BXS5
Q96L50	Q53GL0
Q8TDY2	Q96KJ9
Q9BUE0	P54852
P26678	O43929
Q9NZZ3	Q15345
Q96T88	Q8WXF1
Q7Z460	P09038
Q6ZNE9	Q86XT4
P35269	Q13535
P09017	Q10567
P08069	Q9UHB7
Q9H773	Q92674
Q9NZ81	O15297
Q6AZY7	P57105
Q8IWV8	P05177
Q6PID8	Q9BXN2
Q5JWF2	Q9H063
P23497	Q9NRG0
P07225	Q9BRS2
P20823	Q5VTR2
Q9Y3B4	Q9P253
O15162	P21145
Q9UFG5	Q5W111
Q8NEZ5	O96013
Q693B1	Q08945
Q14746	P61604
Q8WV60	Q07889
O75586	Q9UGL1
Q8N5C8	Q9UHY8
Q05048	P01127
Q9BZJ0	Q8WXE1
Q9H204	Q5W0Q7
Q8N0Z3	Q9NZN8
Q15007	Q8WW32
Q5TD97	P05496
O95379	Q53GL0
P32320	Q9P2K8
Q13323	Q16633
O60260	Q96C24
Q9H0A6	O43583
Q7Z4S6	Q6P1J9
P46821	O00273
Q9ULV8	Q9BVI0
Q96NA8	Q9Y676
Q15649	Q8WXU2
P19174	O14756
O60356	P16157
O94989	Q9NQS3
Q2TAZ0	Q9H4L4
Q16543	Q86XI6
Q96SW2	Q13191
P04080	Q86Y82
Q9UL63	P31947
P78560	O75771
Q01844	Q6NZI2
Q86Y01	Q96AY2
Q14847	Q3SYG4
O94952	P17022
O75716	Q01167
Q92667	O14893
Q9UQ80	Q96AA8
Q9HCE1	Q8NEC5
Q8N0V3	Q7Z3B3
O43660	O75161
Q6ZVD8	Q96SB3
Q9BV68	Q14209
Q969V6	Q9Y4X4
P52333	Q9UGP5
P20929	Q8TEB1
Q96JM7	Q9NZD8
Q6QNY1	Q96L91
Q9HBD1	Q9ULS6
O96008	O75143
P55210	P58753
Q15040	P13196
P12268	P21953
Q15223	P85298
Q9NQL9	Q8NCX0
P33316	P04183
Q13233	Q14204
P56945	P17542
Q8N386	P45379
Q8WU10	Q06787
O15516	Q9BST9
Q8NAP3	Q96EF0
Q9BX66	Q8WU10
Q9ULX3	O43399
P41219	Q15672
Q9Y2Y1	O15460
Q86V20	Q9NR09
P13727	Q8NI37
Q9H939	P15056
Q9H1J1	P62888
Q7Z4H7	Q9NRR4
O95863	P42338
Q15041	P60033
P18146	Q7RTU3
P17612	Q8IYU2
Q9P246	Q8IZ69
Q16270	Q92835
Q70EL4	Q6ZTQ3
P22455	Q9UQC2
Q8TAQ2	Q9UJW3
Q96G04	Q03468
Q92844	Q86V81
P57775	O95644
O15439	Q86YT6
Q8NCE0	Q9Y5K5
Q9NZQ7	Q9NQL9
O95848	Q14188
O94889	Q8N0U7
Q9UQE7	Q9UKG1
Q96GX1	P38432
Q96DC9	Q7L945
Q9H6L4	Q9HD47
Q9H2G9	Q9UKL0
P20823	Q8TAX0
Q9NSB8	Q96QK1
Q9UIF7	Q9Y4H2
Q13042	Q9UJY4
Q9H9F9	Q05048
Q9NPE3	P61968
O60437	Q9Y547
Q96BD8	Q86YP4
Q92889	Q8WU20
O15260	Q9H4E5
Q9HAV4	Q9UBQ5
O95231	Q8N1L9
P09874	Q9BVM2
Q13608	Q9BT49
P0C7T5	Q6PK18
Q96FQ6	Q9P286
P46779	Q6IA69
Q14919	Q6P499
Q06323	O15068
Q96DA2	P43364
Q9H7D0	Q96EI5
P81133	P10606
Q13492	O75146
Q96JN0	Q8TD19
Q9H3K2	Q8N4B1
Q9Y5U2	Q99750
Q15572	P18859
Q8NC24	Q12815
Q9Y547	O95831
Q6PEX3	Q9Y566
O14682	O00217
Q96CN5	Q9GZT9
P48544	Q05639
Q14165	Q15276
P51825	Q14562
Q14155	Q16625
Q9H6R7	Q6P9B6
P48426	P42892
P04424	P35557
Q86WJ1	Q96LA8
Q9BRG2	Q9Y2L9
Q8TCU6	Q16891
P15923	Q8NFH8
Q5T6F0	Q8NFU7
Q9UNZ2	Q53HC0
Q4AE62	Q9Y3S2
P09017	Q6P0N0
Q9H251	P29972
O95231	Q99471
Q86WZ6	P43694
Q53GL7	Q9UQ90
O95926	Q8WW24
P25445	Q9Y466
Q8N5R6	Q9H0H5
Q16649	Q9BXP5
Q15629	O95677
Q8N4N3	P06746
O96004	O14653
P58753	Q969H0
Q9UPN7	O95363
Q9BW66	Q9UBR2
O00151	Q9H7H0
Q6P9B9	Q16851
Q9NX14	Q8N3C0
Q9BVG8	Q6NYC1
Q8NBM4	Q9NQQ7
Q13797	Q9UDY8
Q96PC5	P50539
O75159	Q92538
Q8N3J5	P98161
Q12768	O43683
Q14318	Q8NFZ0
O95059	O00463
P28289	P36542
Q9Y2X9	O96017
Q8WVT3	Q96IP4
Q16635	P42773
Q8N2Z9	O75914
Q14012	Q9Y4Z2
Q8NAP3	Q969E8
Q96S15	Q9H553
P08865	Q01826
O75934	Q9UBX3
Q14011	Q99062
Q9BVV2	O43823
Q9BVK8	Q15648
Q9BXL8	O60346
P62979	Q09013
Q9HCC0	Q9NPE3
P20073	P42261
Q9H8T0	Q66GS9
P52799	Q8NDX1
Q14344	P51825
Q9NR22	Q68DV7
P41217	P10721
P32243	P07315
Q9H765	Q8IV20
Q8TBN0	Q9H3D4
P49327	P06730
Q712K3	Q13241
Q8NHG8	Q02153
Q9UIB8	P50749
Q96F63	Q8TDW5
O75461	Q9Y2D8
P12272	P29083
Q9NY72	Q96S21
Q8IYF3	P32321
Q9H269	Q9BRK4
O14972	Q15042
P12270	Q13049
Q9NWT1	Q53GL0
P40616	P09564
Q13422	Q86YT6
O43167	Q6PI98
O94761	P58753
Q8N5I9	Q9P000
Q9BW27	P29376
O75586	P36578
O60927	Q8WUB2
Q6PF05	P27694
O95218	O75832
O75400	Q96L08
Q13291	O75190
Q13258	Q9UJ72
Q6NW34	Q13952
Q13200	Q14493
Q86TJ2	O75899
P06703	P52815
Q8NA72	P49368
O75530	Q8N6R1
Q9UMX2	Q13228
Q15345	O60256
Q96EN8	P30533
Q99798	Q9BV97
O15068	Q15041
Q96P70	P35613
P06702	P50748
Q9NU19	Q99848
Q96PU8	Q9GZQ3
Q8IYL3	Q6PEX3
Q9BYV6	P62877
Q6IN85	Q96T60
Q8WXB1	Q16585
O94964	Q8N5F7
P14778	Q99638
P18507	Q07960
Q13085	Q9UQ84
Q9UM63	Q9BZE4
O75569	P08833
Q9H7X7	Q9UK11
Q9UBF1	Q9BQ48
Q9Y5S8	P35916
Q8WWR8	Q86UF4
O75317	Q1MSJ5
O43143	Q9Y5K8
Q9BUN5	Q8N1S5
P00558	O14497
Q9NY61	O75506
P52298	Q6ZU52
Q9C0K0	Q9NUC0
Q5H9K5	P42704
O60566	Q8TCT9
Q8WW38	P04629
P24752	P04843
O43439	Q99743
Q96KS9	Q8WTR2
O96014	Q9Y5S2
Q93034	Q9GZN8
P78345	Q03405
Q9NQZ3	O75533
Q9UBF1	P23771
Q9NPA8	Q9NSD9
Q13029	Q99952
Q9BVT8	Q8N3L3
Q9BYH8	Q9UKY1
O95947	Q6NXG1
Q92622	Q9Y679
P18077	Q66K14
P51813	P27694
Q96EQ8	O14920
Q96EQ0	Q9BRR9
Q96BY7	Q5BKZ1
Q7L5Y6	P24390
O75925	P62263
Q9BXY8	Q14697
P43363	O15126
P41240	Q96S82
O43491	O60256
Q9BW61	O95996
Q9HD26	Q01813
Q969R5	Q16799
P79522	Q5VST9
Q13257	Q5JTC6
O43296	Q9UBL6
Q9NQ55	Q9UKD2
Q8TEP8	Q8IWE2
P15509	O43542
P21917	O14508
Q9NRR4	Q8NCX0
P49815	Q96ES7
Q5TD97	Q53GQ0
Q53TN4	Q12906
O95997	O95544
Q96GQ7	P22455
O75448	Q05BQ5
Q9BSQ5	Q9UL33
P18507	Q9H6Y7
Q9BYG4	Q9Y5J3
Q8NI38	Q9NXR7
Q9BZQ6	Q8NA72
P49411	P48549
Q8NEC5	O75385
Q06418	Q9NQB0
Q70Z53	Q6P1K2
Q92904	Q9H992
Q9P278	P51681
O14867	Q14831
O95379	O95229
Q9Y5B0	Q9P278
P07315	Q9UI14
Q96D09	Q8TB45
Q13823	Q14694
Q6ZUT1	Q9UBU7
Q02078	Q9BW71
Q9Y3Y4	P78324
Q8NF99	Q96JM7
P56270	Q02153
Q8TEB7	P62081
Q7Z3G6	Q9Y2D4
Q9NP79	O15524
Q9NWY4	Q9BVG8
Q9UBR2	Q9UJT9
Q5HYW2	P21980
Q9BTD8	P16109
P02671	Q9Y242
P63146	Q92625
O15062	Q9UNA4
O94952	Q3ZCQ8
P08579	Q8NI29
Q07864	O15083
Q9Y5A7	Q14653
Q96A47	Q9Y342
O43502	P27540
Q92843	Q9NWK9
O00471	Q13277
Q00526	Q96MF7
Q9HCJ0	Q08378
Q96B26	Q9NRL3
Q8TEB9	Q8N895
O43143	P62380
P01133	Q969J2
Q9Y2X0	Q16821
P14136	Q9BRP4
Q9BRX9	P13987
Q9Y2U8	Q00604
P20338	P46934
Q8NDD1	P25800
Q6UWL6	P19419
Q86V59	Q9Y6J9
Q9Y4B4	Q14746
Q9BWC9	P35247
Q8IXW5	Q13952
P28702	Q6ZW31
O14744	P54852
Q9GZV5	Q8ND25
P78527	P13051
P04424	Q96D46
Q92904	Q9NPI6
O43541	P48380
Q7Z5K2	Q8IUR0
Q5VWN6	P33992
O00541	O60296
Q659A1	Q14587
O95347	P10914
Q9HA47	Q15276
Q8WVX3	Q9ULZ2
Q9UHC7	Q13322
Q9NYF8	Q15084
O15534	O14836
Q03468	Q15029
Q9UQ80	Q14145
Q8TDD1	Q96QS6
P23284	P28066
Q99697	P11182
Q86VF7	Q9BV86
Q13889	Q9Y2Q0
Q96GA3	Q9NZA1
Q9BV73	Q96GF1
P35240	Q14137
O43704	Q9Y3M2
Q86TC9	Q9NZA1
P0C7W6	O00422
Q01831	Q96RE7
Q96L92	Q969D9
P13196	Q12933
P35998	P46777
Q6PD62	Q9Y3U8
Q96IY1	Q9NYR9
P13056	P59998
Q99570	Q8IXJ9
Q9Y4I1	Q9UHQ4
O75925	P49821
O60603	Q15648
Q14203	Q99592
O43395	Q99708
Q49AJ0	Q7RTN6
O75056	Q8IWB1
O75528	Q5T124
P48509	Q9NQ87
P38919	Q86VM9
Q9H040	O60336
Q99767	P49327
Q9NRL3	Q99469
Q8N1L9	Q9BQG0
Q9UNK0	Q14183
P40238	Q8IUI8
Q9NX08	Q9Y6X3
Q86Y97	Q9NZN3
Q7Z4N8	O60907
Q16799	Q9Y5X2
P17301	P10912
P19883	Q9UHV2
Q13404	Q03518
Q6UN15	Q96IP4
P35613	Q92600
Q9Y5W3	Q9UPY6
P99999	P61081
Q13158	P36894
Q9H165	O75665
Q00604	Q9Y3S2
Q86XT4	P20585
Q9Y6C2	Q92629
Q9Y6F1	Q9Y2D4
O15169	Q16891
Q9H2X0	Q13535
O15350	P27361
O15182	Q2TAC2
Q9NX70	P11279
Q13085	Q13393
Q06323	Q9Y2Y1
P41219	Q92844
Q96PM5	Q15008
Q5VSL9	O14593
O95208	Q00604
Q6NSI4	O75506
Q9HAV5	Q8N2Q7
O96013	P08621
Q9UJ04	O15265
Q96HU8	Q9NYF8
Q9UBS4	Q99683
Q9Y4A5	Q96MU7
Q6SPF0	Q14005
O00257	P26358
Q96D46	Q9UBK9
P17542	Q14192
Q9P1Q0	Q4VC05
P01303	P51843
O15260	P01374
O43427	P35221
O15062	Q7KZ85
Q8N448	Q6ZT12
Q9Y4W2	Q9BT88
O00499	P49354
Q13797	P39748
Q16576	Q6P158
P12259	Q8WZ74
O14893	Q9NRF2
Q8TCT9	O00267
O00161	O95273
O00512	Q13107
P19174	P05814
P11387	Q8NG31
O96017	P48436
Q13144	Q8IYB3
Q9Y566	Q9BXW9
Q9P2F8	Q96IY1
P35637	Q8IUR7
P43246	P25208
P28749	O15371
P62081	P07307
P10747	O00151
P41235	Q6P2H3
O43561	O60663
Q96QS6	Q9H7L9
P48681	Q9NSD9
P14868	Q9NWS9
Q9Y3C5	Q9GZT8
Q7Z3I7	P00736
Q9GZS1	P49901
O60760	Q8WUU8
Q9BVN2	O43896
O43493	Q9P2S5
Q9H9A5	O75293
Q9C0C4	Q9UNT1
P82914	Q16512
Q9UGP4	Q9BW04
P35900	Q8N1B4
Q9H5I1	Q04771
Q8IW19	Q9H6R0
Q96NL6	Q07954
Q712K3	Q9Y3U8
Q5EBL8	Q9UKJ5
P03950	Q9NXG2
O14561	O60504
Q5I0X4	Q96HA8
P09603	P22830
Q92995	Q9NQ94
Q9UI26	Q15562
Q8WYK2	O14657
Q14683	O15212
Q96K58	Q12796
O75323	Q9Y577
P13693	Q96FJ0
Q96A35	P51398
P49366	P37840
P62136	Q99836
Q15506	Q9NZQ7
Q92630	P06858
P11047	Q9H840
Q9GZM8	P06702
P10275	O94829
O75807	Q16478
Q5JRA6	Q15118
Q9Y223	Q4VCS5
Q9NVW2	Q12815
Q9UNY4	Q5VTD9
Q9Y570	Q14694
Q9BU64	Q969S3
Q96CJ1	P20807
O75330	Q9BVQ7
Q9Y6G9	O95971
Q7L5Y9	Q9UBW5
Q9Y6G9	Q6KB66
P15559	Q8IUH3
Q9NYA1	Q96RK4
Q8N2W9	P50914
P18054	P60484
Q96CS7	Q8WVM7
P13798	Q8TBP5
Q9H8E8	Q9NPJ4
Q9Y2B1	Q9Y216
Q9Y6Y9	P22681
P41743	Q9BQ65
Q00597	P53355
Q9UFF9	Q86VS8
Q13049	Q9GZN8
Q9UQQ2	Q9BQQ3
Q8IXB1	O75386
O75665	P27701
O75916	Q13951
Q99598	Q6ZW49
Q96S65	Q14149
P21145	O15344
P13804	P23588
Q07666	O15061
P02647	Q13099
P51610	Q02410
Q8N488	Q9BTV4
Q9Y4E5	Q5T655
Q8WVC0	O76081
P62263	P49755
Q13111	Q9Y6N9
Q8N5M1	Q9BYD2
O43913	Q14135
Q9HAW4	P30414
Q9UNY4	P55042
P53990	Q16586
Q02156	P10912
Q96GQ7	Q7Z4G1
P50750	P55771
Q96BD5	Q9NZM3
O75340	Q7RTU3
P19320	Q13330
P53618	Q9UPN7
O43318	Q8IYX7
Q9BTY7	P07204
Q9NQR1	Q13573
Q5T447	Q6PL18
O75953	P07585
Q8IWV7	Q8IZD9
P62873	O95273
Q86VS3	P23193
P51148	Q96CS2
Q9BYS1	Q9BXB4
P78563	P57075
Q8IWU6	Q8TBN0
Q14508	Q9BW04
O14745	P16298
O43318	Q5VT06
P25105	Q9UBE8
Q93038	P36507
Q8WUF5	O14503
Q96HA8	P61587
O75161	O94864
Q03405	Q9BQI6
Q8N6T3	Q12802
Q8N5I9	Q49AR2
Q9NR22	P10827
O43324	A0JLT2
Q9HAQ2	P61925
Q9BPX3	Q5W0B1
Q6AHZ1	Q9H773
Q9NRM2	P53365
Q8NFH5	Q99689
Q9Y2B4	P14174
P55061	Q9C0F1
Q7Z5K2	P35610
Q99469	O15354
Q8NI27	P51116
Q9Y6H1	Q9Y222
Q12802	Q96S52
Q8NG27	Q92558
O43324	Q96JG6
P25788	P46527
Q16630	O00204
Q99592	P17181
Q96MW5	P10912
Q9NY27	Q15596
P49454	Q92542
P08651	P58004
O95900	Q9Y6J0
P48061	Q8NFH8
Q96HR8	Q8TDX5
Q5T655	Q9HBG6
P62750	Q96G27
Q07960	Q13084
Q9H9Y4	P16471
Q96S97	O00305
Q9Y2T1	Q96S65
Q9ULG1	Q86U86
Q9NRR4	Q9H000
Q9P000	Q06124
Q9H714	Q96NA2
Q13905	Q96Q07
O95050	O60356
Q9Y3U8	Q8NB90
Q8WTW4	Q9Y6E7
P60604	P42695
Q9NSB8	Q13618
Q9H0U6	O60662
P55196	P0C7W6
Q8TD22	Q8WTX7
Q8N5J2	Q9P287
O15315	P0CG13
Q9NPI6	Q9Y680
P05496	Q9NR96
Q9GZV8	Q8NHG7
O75884	Q8IXI2
Q5T2D3	Q9HBG7
P49281	Q9HD26
P49069	P63165
Q9NWZ8	Q9H334
Q13425	O14503
P33076	P04035
Q13620	Q15067
Q13115	Q13797
P20226	P54132
O15162	Q9UKS7
O95271	Q9H867
Q13651	Q5VSL9
P43034	Q9UBZ9
Q53HV7	Q92782
Q9BRD0	Q14232
Q9Y5L4	O94985
Q8WX92	Q13156
Q13127	Q96G75
Q9HCN8	P14136
Q6NSI4	Q52LR7
Q52MB2	P46940
Q13216	Q96RS6
Q92832	P35613
Q676U5	Q8N5D0
Q13094	Q9NSC5
Q86VI4	Q9C0A6
Q96BN2	Q9H173
Q16643	O15049
Q9BTZ2	Q969T4
Q8TAP6	Q9NW75
P78364	P21127
O00167	Q9UMD9
O95400	P48023
Q9BVN2	Q12846
P01111	Q9HAD4
Q9HCE5	Q9H074
P55036	O95169
Q86U86	Q86T24
O95801	P20849
Q9P2D0	Q9NZN8
Q15459	P05113
Q9H8Y5	Q9HCM7
Q04759	Q9Y2I6
O14512	P16070
Q8NI38	Q9H4L7
P22004	Q86UT8
O00155	Q9UKD2
Q9HBZ2	Q14498
P51991	Q08378
P17544	Q9NW64
P05423	P25791
P27695	Q68CZ1
Q9UN30	Q9BTV4
Q99417	Q96FZ7
Q8N6G5	P17152
Q96D98	Q96T21
P05413	Q96EB6
O14981	O96015
P05177	Q96CW1
Q709F0	Q96GQ5
Q9BRT6	Q8N3R9
P78317	O95997
Q96JC1	P20333
O60885	P57088
Q92667	O15155
Q8N163	Q8WXH5
P35219	Q10570
Q02086	Q9UM73
Q9NZJ0	P51608
P52306	Q9Y4A5
P41217	Q14657
Q6UWL6	Q14152
P09917	P68400
P60033	P09110
Q5T011	O43474
P61968	P05423
Q6PCT2	Q96B26
Q9UL25	Q8WUU8
Q15649	Q15773
Q9HAY2	Q9Y4E8
Q9P032	Q9Y4K4
O75503	P53992
O00499	Q92854
Q9GZS1	Q8IV20
P62318	Q9UKP3
P08240	O43290
P11137	Q96DB2
Q9Y5K5	Q8TDQ7
Q9Y5K8	Q8N6N6
P51164	Q9BU76
Q9UNK0	P42857
Q8TAD8	Q8WYA6
Q15291	Q9HCP0
Q16478	P29083
Q9Y312	P24534
Q93063	Q86UL8
Q6QNY1	P53367
Q2NKX8	Q96GS4
Q16718	Q96FE5
Q8WWG1	P08195
P61966	P13473
Q9Y3C5	Q9NVC6
Q9Y6G3	P51809
Q9NRP7	P05231
Q12756	O00459
O43493	P27708
Q8TES7	Q8IX12
Q96BD5	Q969S0
Q9BU61	Q9UM73
Q9BW66	Q8TEB1
Q96GX1	Q7L5A3
O95180	Q9UJW3
Q9Y535	Q9Y2I7
O94818	Q53GT1
Q8N3V7	Q9P209
P49761	Q9UG01
Q96A65	O43447
Q86UK7	Q9NQ55
Q9Y5Q8	Q9Y6R0
Q9P2H3	P09629
Q8NHZ8	Q92519
Q13564	Q9H6Q3
Q8N8K9	Q8N9R6
O14981	Q9UGM3
Q13263	Q12933
Q8WV16	Q9UKA8
Q8IWL3	P04070
P52594	P16109
Q8IWX8	Q9P0U4
Q5VWN6	O96006
Q9H0W8	P51825
Q9NWA0	P50613
Q96E35	O14979
P04844	O43617
Q96JX3	P16070
P09619	P51946
Q96HH9	Q92830
O00232	Q96EY7
Q9BZB8	Q96FX2
Q9BVL2	O14579
P20292	P15407
P24588	Q02930
Q58A45	P36955
P10911	P08779
Q9UJX6	Q13888
O43426	P0C7X2
Q6UXN9	Q9Y6Q9
Q16363	O75586
P11473	Q9C029
Q8NEY3	Q9UK41
O14981	Q8N165
