O00291	Q9Y265
Q13889	P42696
O00257	Q7L576
Q58WW2	Q96EX3
Q9Y3L3	O75592
Q96QB1	P12314
O00329	O43747
P50402	P40855
P78345	Q96BA8
Q9BW83	Q6PEV8
Q08J23	P46777
P28288	Q96DA2
O94921	Q13523
Q86SE9	P54802
P46939	Q504U0
P42684	Q13017
Q9HD34	Q2M2E3
Q92995	Q8N6U8
O75380	Q14149
Q9NR09	P15918
P28290	Q5HYJ3
P62945	Q7L014
O43396	Q96QZ7
Q9P2Y4	Q9BUB5
P05814	Q96CW1
Q9NS61	P55060
Q9UFC0	Q8TC92
P41180	P23352
Q9BZE4	P43119
Q56NI9	P30260
Q86W11	Q969S3
Q9GZM8	Q9NX08
Q9NXD2	Q86X55
Q8TCJ0	O95479
Q8IV20	Q8N7H5
Q9NRD1	P63000
O00151	Q9BYG5
Q9NRF9	Q5VT52
Q8N165	Q8WXX7
Q7Z422	O60237
P61081	Q9UBE0
Q9Y2Y0	Q16633
Q9H3S7	O15020
Q13351	Q9UPQ9
O75052	Q99816
O95786	Q9HBZ2
O96011	Q13115
P09661	P49757
P37108	Q9Y6G3
P50406	O14579
O43324	Q9UM11
O75688	Q9BTA9
Q9Y3S1	Q6ZMV9
Q9NQX3	Q13542
Q13352	O00327
Q9H251	Q99460
Q02297	P82979
P25787	Q9UBT2
Q99801	P52630
P49765	Q86UF4
P17181	O43609
Q13895	Q8IZD9
P09001	Q9UPZ9
P52272	Q9UHD2
P61587	O75323
Q8NHQ1	P35579
Q86UC2	Q16891
Q9NZN9	O00154
Q9NZU7	Q9H496
Q6IQ55	Q9H6T3
O60884	Q6P656
Q96C10	Q9Y5J3
P19404	O00635
O15027	P53621
Q8N122	Q53F19
Q8N3P4	Q5VZM2
P61088	O75386
Q8TDR0	Q9NWK9
Q8WUD4	Q02040
Q9H7D0	O60341
Q7L2H7	Q9UK96
O95835	O94966
Q15390	Q9HCK0
Q99436	Q9UJY1
Q13541	P15289
Q6P1X5	Q9Y6Y8
Q16602	O95900
Q9H4D5	Q53GT1
P62312	P52948
P42226	Q4G0F5
Q96CN9	P48039
P10276	Q96RE7
P50897	O95219
Q8NHM5	Q8N6U8
Q9HB65	Q8TDD1
P78347	Q13469
Q15390	Q9BTZ2
P43365	Q7L014
O76071	Q9Y223
Q96LC9	Q9ULD6
Q8TAP6	Q96RT8
P35222	Q96J84
O60566	Q96F63
Q9NTX7	Q9UGY1
Q6NZ67	Q8TEB7
Q96G74	Q9UDY2
Q8N6V9	Q9UNE7
Q9NR28	Q15404
Q8N7H5	Q9BYF1
Q9BRX9	P63208
Q96I25	Q9NWF9
Q9ULV5	Q8N6V9
Q15139	Q15025
Q04837	Q9BVV2
Q13087	Q8NBZ0
P51114	P21731
Q12851	Q9Y6A5
O60880	P61218
O60610	Q9H211
Q86Z23	O14653
Q8NEC5	P48549
Q9Y3E2	Q96PK6
Q5T2W1	Q9UHA2
Q8NE01	Q9UPN7
Q00839	P61024
Q13133	Q8TEC5
Q6UY14	P37268
P17036	Q9C0C2
Q9C0F1	Q13563
Q8IUR0	Q9NZT2
Q14232	P08240
P21583	Q12913
Q96HA1	Q9H6Q3
O94964	Q9P2M7
P17706	Q6ICB4
Q96B97	Q8NG31
P05177	P43155
P53567	Q9NVN8
Q02246	Q96D03
Q49AR2	Q9UBC2
Q53GL7	Q8N8D1
P46939	Q9BTL4
Q9Y5Z7	Q8IY42
Q8N3R9	Q9UQB8
Q96QZ7	P05813
O95376	P63220
Q6RI45	Q14241
P14653	P49761
Q6NUJ2	Q8NAA4
O14530	Q9H165
O75558	O75843
Q9BQD3	P86791
Q05586	Q9NR30
Q6ZU52	P54198
Q14241	Q9H3H3
Q96G01	Q96JG6
P54578	Q9UJW0
Q9UQ35	P02746
P53611	O60477
P25942	Q92622
Q8IVT5	Q8NDC0
Q13277	Q86XS8
Q53EL6	Q86UN6
Q8WW12	P41743
Q7Z7F0	Q14749
P08514	Q6BCY4
Q14204	Q13042
Q96LT7	Q96CG3
Q9P2R7	Q9NSB8
P13051	Q99700
P57682	Q06190
Q8IU60	Q96BD6
P17535	Q86TJ2
Q96MW7	Q01860
P35670	Q15466
Q8N5M1	P55089
Q8NBT2	P23511
Q9H2C0	Q8N5Z5
O76071	Q14012
Q9UNS1	P18084
Q9P0P0	Q10567
Q7Z6G3	Q96BK5
Q1KMD3	Q9NS69
P61081	O43303
Q9Y2L9	Q9UNQ2
P22301	Q14674
O75865	Q96II8
O75157	Q05195
P78348	Q8WUN7
Q9BYZ6	Q96BT3
P40189	Q9H190
Q9NVT9	Q96JG6
Q9Y6G9	P60900
Q13608	Q9Y2X3
Q8TE49	O15162
Q8IYR0	Q9BSI4
Q9BVJ6	Q01453
Q9UIA9	Q86VR2
Q9UL33	Q9Y4X5
Q13202	Q9NW82
Q969G3	Q96CF2
P48788	O75970
O75449	Q86WJ1
Q9Y2I1	Q9H4Z3
P42702	Q9UK53
Q9H8M7	Q96D46
P10276	Q7L5Y6
P46783	Q92782
Q9UJ55	Q8IYJ3
Q8TEX9	Q96I25
Q08426	Q9Y6G3
Q99590	P43364
P07225	O75953
Q9NWS6	Q9BPU9
P02730	Q15555
Q5T0L3	Q9Y223
Q9H5Z1	O14757
P60006	Q9H1C4
Q9HAV5	Q93096
Q9UBH0	P08253
Q38SD2	O43809
Q5VV42	Q70Z53
O15260	Q8N6R1
P55316	P04198
P02489	Q9BXS5
Q8TAF8	P35228
Q32NC0	P29373
Q13794	P78563
Q9P0K7	Q8TED1
Q8WX92	P25105
Q99757	O00231
Q9NUQ3	O95980
P00441	O95704
Q3V6T2	O94964
Q96FF9	Q9H845
P04792	Q969U7
Q9P031	Q8NDX1
Q9P2K8	Q6NZY7
Q7Z422	Q6MZT1
Q9NZN5	P02511
A6NKD9	P10636
P36542	Q9P299
Q9UKD2	P10073
Q96TC7	Q9P0M9
O00483	O75534
Q6PKG0	Q8NCN4
Q9BYD3	Q9UGI9
Q6ZWJ1	Q9BZL4
Q12888	Q5T655
O60315	Q13326
Q9UMX1	P01111
Q9Y548	Q99704
Q53HC0	Q9HAU0
Q9C026	P62826
O95848	P09603
Q8TAM2	Q9H4L7
Q9HBD1	P34741
P30260	P83369
Q9UNM6	Q9BWM7
P14859	P04637
P10243	Q9H251
Q9NQ66	Q8NF50
P48551	Q13112
Q9Y2B4	Q5T686
Q13356	P09661
P50225	Q9UL42
Q12873	Q96T58
P15509	Q9P0M9
P09871	P04792
Q15459	Q8IXB3
Q6ZNE9	P05154
O00198	Q96MN2
O95671	Q9UKN8
Q9H7E9	P41743
Q9P0R6	Q9BQB6
P28702	Q8N983
O15519	Q8IY92
P07355	Q9HCK8
Q96T60	P06213
P06703	P0C1Z6
P11279	Q7Z7F0
O60645	Q8IV20
Q49A92	Q8WY64
Q9P278	O43567
Q9Y597	Q12830
P01031	P11177
Q15116	Q14168
Q8N6U8	P55209
Q13601	P02671
Q9Y4Y9	Q16881
Q8IUR7	Q6XZF7
P33316	Q9NWY4
Q6P1L5	Q6ZSY5
Q8IVU3	Q8TB22
Q9BS26	Q13232
Q5VTQ0	P36507
Q96A08	Q96MX6
Q6P2E9	Q13503
O75128	P15260
Q9BVN2	Q96RR4
O60861	Q08999
Q16795	Q9H1C4
Q15388	Q15116
Q12774	Q9H6Q3
Q9ULZ2	Q9NXG2
Q6NZ67	Q9P0W2
Q9Y312	Q5T9L3
Q96D98	Q9Y3F4
Q9UIF8	Q9P1Q0
O95149	Q13569
Q9UK45	Q9H8M7
P62314	O75396
Q9BSV6	Q12934
Q7L2J0	Q02410
Q8N5R6	Q96EF6
Q8N9M5	P20292
Q8N5M9	O43166
P10644	P21506
Q8N7X8	P14735
Q6GPH6	Q9Y3Q3
P49247	O94989
P09693	O14756
P25789	P55011
Q08170	Q9UPN9
Q9UM13	Q9HCM3
P60891	Q15466
Q9BW66	P14174
P53992	P35250
P13995	Q96JC9
O95999	P15056
Q38SD2	Q13426
P78324	P17661
Q6WKZ4	P36941
P60520	P19419
Q9UQQ2	P61586
Q9BYD2	Q13114
Q86U28	Q9NUQ3
Q7L190	Q96EK7
O94952	Q9BPZ7
Q96T51	Q9NZA1
Q9UIW2	P11831
P62495	Q9H040
P09496	Q99750
Q9C0A6	Q6ZN18
P48039	Q9H714
Q8IZ69	Q96GF1
Q96AA8	Q6AI12
P62195	Q8TF74
Q15772	Q15058
Q8NDV7	O60477
Q9Y2B4	P04792
P17948	O60841
P50549	P35900
P13798	Q13323
O75409	Q9UIA9
Q96B01	Q6PD62
P25440	Q96L46
Q8WWQ0	P13994
Q13137	Q9ULR0
P60604	Q02218
Q9BZL4	Q96CV9
Q6UWL6	Q9Y5W9
Q8NEG0	P98155
Q96G04	P35212
Q9BVG3	Q8N983
Q14203	P56278
Q02446	O15287
Q9H1I8	O95785
Q8TC92	P05549
Q86SE5	Q9UM82
O60331	Q9ULK4
Q9UQL6	Q8NEG0
Q15788	Q6RW13
Q96KM6	Q13868
Q9BQI3	Q9Y4E8
Q9NPF5	Q08AG7
Q86YP4	O00311
Q99523	O75170
Q7Z4I7	Q96BW1
P38606	O00429
Q2T9J0	Q9Y2J0
Q9NQC7	Q9Y698
Q9UKS7	Q13107
Q99627	Q9NZZ3
Q9Y448	Q56NI9
P35869	O95996
Q9NTJ5	A1A5D9
Q8NA57	Q709C8
P11021	P27708
Q8IVU3	P07900
O43847	Q8WUA4
Q9NVX0	O15117
O95758	Q8TCU6
Q9Y3B1	Q92917
O95050	Q07960
Q9BXU7	Q9UER7
Q8IWB1	Q03188
Q8IZJ4	Q15125
O75386	P01106
P02730	Q9P104
P07949	Q8WU90
O75592	O95182
Q13309	Q9BV19
Q7Z3B4	Q9NX14
O14744	Q9Y698
P51812	Q8IVS8
Q7Z2Z1	P50749
Q7Z3I7	Q9BRP1
Q96DR7	Q99081
Q15643	P20336
Q9UBU9	Q9UJT2
Q96BD8	Q9Y5U2
P52630	Q9UGY1
Q8NBM4	Q14188
Q9P0L0	Q8N1A6
Q5VZV1	Q16629
Q53GT1	P06307
Q9NVR2	Q16828
P21266	Q2QGD7
P40818	Q96RK0
Q9P0I2	Q9UPM9
Q8WWN8	Q8WV24
O60237	P29972
Q14242	Q9NZS9
Q5VSY0	Q86YS3
P98160	P49711
Q8TCA0	Q9UHQ4
Q9Y2D4	Q6P1W5
Q6N043	Q02446
Q96B97	O96018
Q13424	Q6ZT21
P51610	Q15170
P49716	Q9UFG5
P27797	Q9NPP4
Q02535	Q9BUZ4
Q16531	Q96GG9
P19544	Q9Y4Y9
Q9NP66	O95405
Q9P275	O75478
P40227	O00548
Q96GX9	Q66K64
O75367	Q9P278
Q9GZT8	Q96QZ7
Q9NQX4	Q9H7H0
Q9Y2D1	O15460
P54727	Q8WU10
P53539	Q9H8N7
Q15040	Q16630
Q9UPZ9	P04049
Q9BW71	Q15022
Q8NG27	O94763
Q9NVK5	Q5HYK7
P49005	Q8NI29
P62324	Q9Y2X9
Q9H0D6	Q86VK4
P10071	P06746
Q13451	Q96JC1
Q9HBH9	Q9BVS5
P36957	Q9H0W9
P20226	Q9NP71
Q13554	P01040
Q5ST30	P04035
Q6AI39	O43148
O15360	P43115
Q9BWF2	O43402
Q9BX82	Q9HB07
P55072	Q9NQX4
P19419	Q9BYV6
Q9Y248	Q86TC9
Q7L1V2	P41250
Q9NP97	Q9NQ55
Q6UB99	P50570
Q9Y620	Q9NSE2
P49454	P60409
P61960	Q66K74
P81133	Q12851
P14859	P53350
Q14207	Q9H0A6
Q9NZJ0	Q9Y3B7
P39748	Q9BYZ6
Q9H840	Q9Y2Q0
Q9BZL4	P49639
P21757	Q8TBC4
Q13002	Q15904
Q9NVS2	P61968
Q9BTP7	Q6PJE2
P15923	Q8TAD8
Q6R327	Q9P2B2
P30520	P35232
Q8N2H9	P35070
Q53HC0	Q8N9N8
Q969W3	Q96SB8
Q12800	Q9NRX1
O94776	Q13144
P31645	Q7Z6G3
P35579	Q7L4P6
Q9NPI8	Q15056
Q12906	Q01201
P14416	Q9BQ61
P18858	Q8NFT6
Q6NUN9	Q15013
P46531	Q92989
Q9UJX2	P61513
Q13451	O43707
Q96MW1	Q9NPJ6
Q14653	P20807
Q9C000	P42167
Q16821	Q96Q40
Q9NSE2	Q9HBI0
Q96SB8	Q9H6Y7
Q96L50	Q969W3
P56962	Q71RG4
Q7Z422	P25116
O94842	Q9BUU2
Q9H668	Q9Y2D8
P05814	Q8TF46
P31274	P13473
Q14451	Q9NYP9
Q6UXN9	Q8NEF3
P31350	P62917
P48357	Q9P0R6
Q8TDR0	P14316
Q86WN1	Q96EN9
Q9UJP4	Q9NQZ8
Q09161	Q15554
Q92834	Q9BXB5
P35638	Q96GS4
Q8N612	Q9ULU4
O60336	O43463
Q5T2D3	O75157
Q15008	Q96T68
Q13416	Q5SQI0
O75928	P48736
Q969W3	Q969N2
Q8N983	Q16520
Q7Z7B0	P63208
O75414	Q96KR7
Q8TDN6	P51116
Q8N7C3	Q15758
Q96FZ2	Q9P2K3
Q96IZ7	Q53HL2
P78536	Q12879
A7XYQ1	P13498
O95407	Q96SI1
Q8IUD2	O43427
Q96GC6	Q86V42
Q9NX01	P50406
P10721	O60663
P30307	Q8IXI2
Q9Y4E5	Q08170
P34897	Q9Y265
Q9UI14	P35236
O14810	Q9Y262
Q96EZ8	O75376
Q96GT9	P63244
P50221	Q13432
Q9UKL0	P02776
Q96DI7	Q9NX04
Q9NZN3	Q9NWV8
Q8NFJ9	Q68DK7
Q9H6R7	Q5VWG9
Q9UH62	Q9H9A7
O95671	O43281
P37231	Q9H7D0
Q96AA8	O14777
Q9UPN6	Q14582
O43676	Q8TD19
Q96RT7	Q8WVS4
O14746	P47897
P54278	Q9BQ65
Q6IA69	Q9H7P6
Q15853	Q96HP0
P52435	Q92688
P68032	Q8IVT2
Q9Y2T2	Q86WR7
Q8NFW9	Q5JWF2
P07910	Q9NRD0
Q3KP44	Q68DK2
Q9UKD2	Q9UQ13
Q13241	Q13148
P46736	P10321
Q86YR5	Q9HCL2
Q4ZIN3	Q9Y6I7
P35568	P46695
Q86VP1	Q5T7W7
Q9P2A4	Q9BW61
P04198	Q03111
P62249	P46736
Q8N3F8	Q9NRX1
Q14207	Q9UBT2
O75643	Q6P5Z2
Q6UWL6	P62328
Q9Y2M0	P63218
P42892	Q9C0C4
P27701	Q13136
Q96G27	P60896
Q14511	P26842
O15516	O60762
Q5VST9	Q9Y2L1
Q99593	P24928
Q13873	O00560
Q8N0S2	Q00987
Q6ZN17	Q99569
O95373	P23760
Q8N5I9	Q96DE0
Q96IZ7	Q9P2K6
O60907	P46695
Q9BV90	O43379
P81877	Q8WV44
Q86X55	Q86WJ1
Q96F46	Q13620
Q00537	O75154
Q00604	Q5JVF3
Q6FI81	Q9ULJ7
O43684	Q86Y13
Q9NRJ3	Q8WVV9
Q9BPX5	P49792
Q8NHV4	Q15067
P47756	Q6IPU0
Q9H4I2	P08235
Q86UP2	Q8TBC4
Q9P0W2	P78537
Q96JE7	Q8IY92
Q9NYB0	Q69YN4
O60664	P17612
O43896	P18847
P49411	Q13889
Q2KHR3	Q9BW61
Q8IXJ9	O75943
Q96FZ2	Q13439
Q92738	Q9BVW5
Q96CS7	O14543
Q92824	Q9UHR4
P00918	Q15050
O75689	Q86TG7
Q86YD7	Q8IYH5
P62873	Q9H5V7
Q13114	O43567
Q2NKQ1	Q5VSL9
P63165	Q8N5M1
Q9H496	Q9H3R5
Q8NCD3	P49903
Q9Y6G3	Q9Y2S7
O75674	O15297
Q9H0A8	Q9NR81
P36542	Q9NS87
Q96BS2	P26640
Q86Y39	Q05516
Q9UI09	P00973
P07197	P60468
Q9P0U4	O14775
Q9Y6I4	Q9UGN5
Q7Z434	Q8TEK3
Q99990	Q02952
Q9NZQ7	Q2NKQ1
Q9UKA8	P04049
Q9BTE0	P43246
Q12769	Q02833
Q8NHU6	O14933
Q9BS34	Q9UQ35
Q9BT43	P78537
P07949	P46527
Q9NYS7	Q9BXL5
P56817	Q8IWU6
Q96CW5	Q96JC1
Q8IZU1	Q6PII5
P49768	P57075
Q9Y496	Q92918
Q96CD2	Q96LC9
P49759	Q5VT06
Q9BV90	P49327
P20929	Q96LI5
P11308	P10644
Q99062	P55010
Q9Y5Y5	Q8IY92
Q92615	Q9Y5S9
O75830	Q92551
Q13596	Q92835
Q05516	O14795
Q96B01	Q6XZF7
P04083	P61006
Q8WVZ9	Q13426
Q12840	Q9BW66
P01374	Q7L4P6
O95407	O60663
Q6ICG6	Q9UHB4
P0C7W6	Q99700
Q6P5Z2	Q8N9M5
P56278	P50221
Q96IV0	Q8N184
Q6ICB4	Q96MP8
Q9Y3C0	Q92667
Q9BQG0	P13349
Q8NA72	O14978
P43489	Q14012
Q9P0L0	O95167
Q15697	P35523
O75197	P78324
Q9BQE9	P82094
Q9UBP5	P26045
Q16611	O43759
O60381	P55084
P12757	Q9BQ70
Q99697	P62753
Q7Z460	P36507
P26373	Q9BXW9
Q14865	Q13564
P51636	Q8IW41
Q6PI26	P55735
Q9UKA1	Q96F44
O15259	Q9H0A0
P19338	Q15527
Q96T68	Q96DC9
Q9Y6I4	O00329
P34741	P08621
P25686	Q86W50
Q96QT6	Q6UUV9
Q9P0P0	O94818
P49790	P26447
Q86VG3	Q9BYG3
Q15653	P78364
Q96BH1	Q15170
Q5VUJ6	P52333
Q9NQ55	Q9UPM8
Q7L1W4	Q8TDR0
Q9UPU9	P54709
P20794	O15047
Q96TC7	Q86UV5
Q6P1X5	Q12791
P16298	Q93038
Q9UMW8	Q8WUU5
Q96CW6	Q13151
Q9GZT8	Q9UIF7
P41181	P0DPB6
Q8N2W9	P35613
Q96KC8	P54253
Q9BVC3	O15145
Q7Z4G1	Q8WXG1
O60760	Q9Y6A5
Q9BYP7	Q86UC2
O95631	Q9BZY9
Q9HCD5	P49959
P27695	Q86TB9
P20366	Q5T686
Q9H190	Q0VGL1
Q9UBC2	Q9BV86
Q8WXK3	P16109
Q9Y5T5	Q12934
Q13901	P14784
Q6NW29	P53350
Q92622	Q13064
P49770	Q8WXG8
Q13277	P01130
P62993	Q9BQI6
Q7Z2W4	Q9BVW5
Q9ULA0	Q9NYY8
Q8N9N5	P49703
Q13112	Q59EK9
Q9P286	Q8N5A5
Q3KP44	Q8NHY5
Q9Y3D0	Q96EK4
O95271	Q9NX04
Q8TAF3	P18074
P31323	P45381
P19387	Q9UHV7
Q9Y5A7	Q9BVQ7
Q96RK0	Q96RJ3
Q2T9J0	Q6VVB1
P49757	P56270
Q9NUX5	Q96MF2
P13591	P10070
Q9NRW3	P13591
O95238	P20929
Q86W11	Q92624
Q96RU7	P17181
P62308	Q9H1D9
Q9NS87	Q8IY31
Q9BUL8	O95059
Q13042	Q12767
Q86VQ0	Q92888
P07101	Q9H1C4
O75143	O95544
P20138	P41162
Q9UL63	O43759
Q5HYK3	Q8NCE2
Q9BRR9	Q8N612
P42785	Q9UBI1
P15622	Q9BSM1
Q15051	P52272
P02786	O14613
Q9HCE5	Q99549
P56279	Q5R372
Q8TBP5	Q9GZT9
P33151	P68032
Q6PKG0	Q9P2B4
Q1KMD3	O14966
P02671	Q92949
Q7Z7F0	Q8NHY5
Q9BSE2	Q8WTP8
Q15562	O96017
Q8WYA1	Q9H175
P23458	O15144
Q8TBZ8	P13051
Q8N1G0	Q9H000
Q96NL6	Q01814
Q9HCU5	Q96S65
Q8TC07	Q4ZIN3
Q02763	Q16773
Q13416	Q9UM82
Q14681	P68543
P19484	Q6AI12
Q70EL4	Q6IPR1
Q8NHV4	Q13371
P42081	Q96LD8
Q8WUU5	Q9BQG0
Q7L3B6	Q9Y535
O95208	Q8IXJ9
Q96T88	O43593
Q96RU2	Q9UJ41
Q8IWT3	Q92615
Q9NPH2	O75208
P48549	Q96BR9
Q9NWA0	O75127
Q8IVU3	Q96HQ2
Q96EQ8	O76041
P14784	Q8NEF3
Q96M63	Q92598
P55345	Q96BZ8
P55198	Q9ULW3
Q2NKX8	Q9NR46
Q6PGQ1	Q9BXB1
Q8TF39	P35212
P50613	Q9NZS9
Q8TF46	Q9NP62
P52333	Q00839
O96015	Q15811
O95239	P27449
P02746	P32969
Q05519	P09913
O43918	Q9UG01
Q8NCN4	O43365
Q92734	P19634
Q13625	O15417
Q96QD9	Q96FE5
Q6PJI9	Q8IZ73
Q8TCX5	P03905
O94818	B2RUY7
Q8TAD8	Q96HN2
O43395	P52948
P51587	P02768
P30084	P43119
Q96SQ5	Q92599
Q96CU9	Q9UPV0
P56181	Q8TD31
Q9H8Y5	Q96E93
Q9NP97	Q9BXK1
Q6N043	Q16718
O43493	Q8WXF1
Q9UK22	Q8N988
Q14191	Q8NBL1
Q14289	P50453
O15344	O00264
Q9UJ83	P20366
Q9Y6F6	Q9Y216
Q68CQ4	Q96CJ1
Q96BK5	P55036
Q9H165	Q2I0M5
Q96T58	Q6WKZ4
Q15583	Q96BR9
O75928	Q92736
Q9UHB7	Q9NS69
Q9Y2I1	P14416
Q9UQE7	Q96BY6
P14174	Q9H307
Q00604	Q7L775
O95336	O60516
Q9NZU7	O75607
Q9UBU7	P27448
P36542	O95059
Q9HD26	P30622
Q10570	Q12913
P42702	P78345
Q6P2C8	Q15329
Q9BW66	Q14674
O14508	Q9NS87
Q13258	P01031
P57077	O00167
Q9NUI1	P08603
P35579	P49450
P28360	Q92519
Q96I51	O60760
Q05469	P23352
O75362	Q32MZ4
P55327	P20042
Q96MG7	P06756
Q8TCU6	P18754
Q16718	Q7Z2W9
Q15013	P54578
Q9NRS6	O15083
Q9NUL5	P07510
P46821	O43175
P49802	Q03164
Q15370	Q9ULV5
Q969W3	P42574
Q6PIJ6	Q6P050
P05231	Q13227
Q9H7X7	Q9NVP1
Q9NWS6	Q8IWZ6
Q8IZD9	O76031
P30260	P10124
Q15121	Q9BVM2
P40855	O43542
P26447	P17029
O43166	Q15393
P14317	Q99612
P35557	Q8WXU2
Q92769	Q96HA1
P55957	Q63HR2
Q9BX66	Q92797
Q9NXC5	P02766
P22830	Q92736
P18124	Q9UMX2
Q9H1K0	Q15435
P04180	Q12769
Q9NPC8	Q86V59
Q53HL2	Q96S55
P83369	Q4VC05
P04156	Q15036
Q8WV24	P05230
Q96N67	Q6NSI4
P16435	Q96IZ7
Q13326	P25963
Q9NZT2	Q8WTW3
O95256	Q96LD1
Q6AWC2	P52739
Q92851	Q9H9Y4
Q969D9	P55197
O95347	P50542
Q92696	Q7Z5L9
Q96LB3	P31274
Q8WU17	Q99523
Q9NSA3	Q969P5
O75116	P52735
Q9Y5T5	O95456
Q6MZP7	Q92925
O60260	Q8WTR2
Q9NZQ3	Q13330
Q15116	P28335
Q9NZT2	Q9NRL2
Q9H093	P21145
P05107	Q6PJG2
Q8N3C7	Q9NXD2
Q96PV4	Q12913
P62495	Q969V4
P51617	Q8WVM7
Q9NXH9	Q01850
Q9HAV4	Q9Y6I3
Q86YV5	P10912
Q96B97	P52945
O15212	Q8NI08
Q8N5I9	Q96SY0
Q8N371	P50539
Q9NRJ3	Q92614
Q8ND83	P52655
O43264	P22681
P11473	P40855
Q5JWF2	Q6P2C8
Q49AR2	Q96DE0
P42857	P24522
Q9H4E7	P03950
P49716	Q9BU64
Q96EK7	P62256
Q9ULJ8	Q03060
P55055	Q9UM13
Q68DV7	A5D8V6
O14576	Q6ICB4
P29350	Q9NZC7
O43524	Q99614
Q5HYK3	Q969X6
P24071	Q504Q3
Q15884	P16671
Q8TEB7	O00629
P16471	P46777
Q9NXU5	O94810
Q8WXF8	O95059
Q96DF8	O15481
P49720	Q9NWQ4
Q15020	O15145
Q00987	Q96DB2
Q86US8	P23528
O00567	Q9BRQ0
O43681	Q96CS7
Q9H5Z6	Q9UKT7
O60341	Q96HQ2
P01100	P24001
P42575	Q9Y616
Q8TCU6	Q8IVU3
P43115	P58753
Q9UMZ2	P48509
Q9NXW9	P50876
Q9UMS6	O14980
Q9H553	Q00839
Q92782	Q9H467
P24071	P26651
Q53TS8	P55011
Q9H040	Q13206
Q8TDR4	Q9BPX3
Q96RI1	O43818
Q13643	Q96EQ0
Q6ZRY4	Q86X55
O95347	Q9UII4
Q8NFY9	Q13794
O60296	O96020
P85299	Q8NG27
Q8N9Q2	O60844
Q8N201	O75608
Q9UKJ1	Q92824
Q96TC7	Q9UBZ9
Q13131	Q8N1G0
P57775	P51858
Q96DA2	Q86VS8
Q9H9Q4	Q9Y6A5
Q13952	P38919
Q9H1I8	Q9UQL6
Q02218	P52294
Q9Y547	P01138
Q8NFW9	Q2MKA7
Q96SB4	Q9UKJ1
Q8N9N8	Q4V328
Q8N6Y0	Q86Y07
Q9UBV8	Q9UM73
Q9NV70	Q9BQQ3
P15976	Q8WTR2
P36578	Q9NXV6
P09871	Q96A56
Q9NZD2	P62834
P54257	P41743
Q5PSV4	P62312
Q13113	Q9Y3E2
P16860	O14519
Q9UKA4	Q15257
O95758	Q04771
Q9NQ94	P06748
Q9BYV6	P35579
Q8TDD1	Q9H0U6
Q2NL82	Q9Y5N6
Q9UHP6	P56524
Q9NX47	Q96AH0
O75056	Q9NXU5
Q9UHD2	Q14106
Q8TD10	Q99801
Q86X83	Q96NY9
P60520	Q92665
P07315	Q7Z4V5
Q13356	Q96HP0
Q1MSJ5	Q7L014
P32927	P10914
O75529	P49757
Q9H4D5	P02760
Q53GT1	Q14106
Q9BTW9	Q15116
Q8N3J5	P09884
Q9NZD8	P01130
Q6RW13	Q6ZN04
O95279	Q9BZD4
Q9BQ61	Q12851
Q5THK1	Q96FV9
Q9UBF9	P43694
P27448	O75478
Q9H4D5	O75382
P62750	Q96T51
Q3SY84	Q9BY89
O95990	Q9BPU6
P43155	Q9Y4H4
Q96KS0	Q8IYE0
Q8WUA4	Q6PI26
Q9BVT8	P07204
P10646	O43680
O75461	Q13113
Q9Y3Q8	P04155
Q7Z6B0	Q8IXK0
O60711	Q2TAY7
Q70Z35	Q9H9S0
O94810	Q13190
Q9BVG8	P21675
P58753	Q9Y4F9
Q66K64	O14657
Q8NC51	Q9Y314
P26373	P08048
O76071	P36941
Q13164	O14807
Q9NTJ3	Q8N1I0
Q9GZM8	Q14168
P35225	P54578
Q8NB78	Q5W0Q7
Q5SRE7	Q9Y4I1
Q03135	Q5T5D7
P43363	P51572
Q9Y2M0	Q12923
P57105	P62306
O75529	P54368
O60239	O60664
P83369	Q99538
P17152	O43567
Q96EY5	Q14202
Q9NYF8	P21399
Q96CS3	P17482
P24588	Q3V6T2
Q9Y3T9	Q9Y624
Q9UBN7	O43313
P52435	Q13554
Q9NSD9	Q8WUZ0
Q9GZN1	Q9UJ55
Q9NTM9	Q8IYF3
Q9UIS9	Q9NQ92
P10636	P63211
O75558	O95239
O95425	Q96RU8
O60240	Q8N0S2
Q9UQ80	Q9BXP5
Q15904	Q9ULM3
Q12815	Q9NZF1
O60828	Q92615
Q70CQ1	Q9NPB6
Q14526	A8MT69
P20963	P07900
Q14896	Q8N165
O15481	P20585
Q9NZC9	Q9BUB5
Q6PGN9	Q96FW1
Q6IPU0	Q08AG7
Q8NFJ9	O14770
Q96LL4	Q9UNH6
Q9BST9	Q9UBF9
Q92918	O14832
Q8NHY2	Q13601
O95352	Q9H074
Q96PU8	Q5BN46
Q13232	Q12983
P28749	Q9NYP9
Q12841	Q9NS73
Q9UL03	O75153
Q6ZRY4	Q96NA2
O00499	O43915
Q9Y4G8	Q15052
Q9H7C4	P00918
Q8WWZ3	P49418
Q14527	Q05BQ5
Q53TS8	P04275
Q13151	Q6ZU35
Q99683	Q969Q4
Q12769	O43567
Q9UPN6	P51170
Q8NFC6	P25311
P41161	Q14764
Q9ULW0	Q9NY33
P43363	Q96QB1
Q9NQU5	Q9Y546
Q8N653	P55347
Q96FT9	Q9ULZ3
P42336	O43379
